
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_A82P
Command line:
  gmx mdrun -v -deffnm O52681_A82P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_A82P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38379e+05 Fmax= 7.52249e+03, atom= 1356
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.42788e+05 Fmax= 2.96209e+03, atom= 1358
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.52572e+05 Fmax= 1.17673e+04, atom= 1358
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.55181e+05 Fmax= 7.94335e+03, atom= 1358
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.58134e+05 Fmax= 1.51721e+04, atom= 1358
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.60256e+05 Fmax= 1.28107e+04, atom= 1358
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.61136e+05 Fmax= 2.18353e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.62854e+05 Fmax= 2.37858e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.63400e+05 Fmax= 3.04442e+04, atom= 1334
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.64194e+05 Fmax= 3.46279e+04, atom= 1334
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.63628e+05 Fmax= 4.25345e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.69066e+05 Fmax= 4.39872e+03, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.69888e+05 Fmax= 4.35044e+04, atom= 1334
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.75351e+05 Fmax= 1.37083e+04, atom= 1334
Step=   14, Dmax= 4.5e-02 nm, Epot= -4.70046e+05 Fmax= 5.40346e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.75826e+05 Fmax= 2.04206e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.76659e+05 Fmax= 2.02859e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.76538e+05 Fmax= 2.85746e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.78188e+05 Fmax= 4.21153e+03, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.79231e+05 Fmax= 2.50631e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.81055e+05 Fmax= 1.03210e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.80081e+05 Fmax= 3.18379e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.81698e+05 Fmax= 1.07751e+04, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.82194e+05 Fmax= 1.47141e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.82744e+05 Fmax= 1.56748e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.82954e+05 Fmax= 2.09278e+04, atom= 1334
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.83337e+05 Fmax= 2.27179e+04, atom= 1334
Step=   27, Dmax= 3.5e-02 nm, Epot= -4.83046e+05 Fmax= 2.96960e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.84912e+05 Fmax= 3.60063e+03, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.85344e+05 Fmax= 2.77192e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.87291e+05 Fmax= 1.03737e+04, atom= 1334
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.85608e+05 Fmax= 3.49046e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.87687e+05 Fmax= 1.23031e+04, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.88005e+05 Fmax= 1.50916e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.88278e+05 Fmax= 1.75539e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.88361e+05 Fmax= 2.17557e+04, atom= 1334
Step=   36, Dmax= 3.1e-02 nm, Epot= -4.88410e+05 Fmax= 2.51005e+04, atom= 1334
Step=   37, Dmax= 3.7e-02 nm, Epot= -4.88019e+05 Fmax= 3.11329e+04, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.90128e+05 Fmax= 3.17347e+03, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.89993e+05 Fmax= 3.03786e+04, atom= 1334
Step=   40, Dmax= 1.1e-02 nm, Epot= -4.90752e+05 Fmax= 1.34439e+04, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.91355e+05 Fmax= 7.00895e+03, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.91376e+05 Fmax= 1.73394e+04, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.92049e+05 Fmax= 1.20724e+04, atom= 1334
Step=   44, Dmax= 2.3e-02 nm, Epot= -4.91623e+05 Fmax= 2.29937e+04, atom= 1334
Step=   45, Dmax= 1.2e-02 nm, Epot= -4.92574e+05 Fmax= 5.47466e+03, atom= 1334
Step=   46, Dmax= 1.4e-02 nm, Epot= -4.92701e+05 Fmax= 1.58160e+04, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.93337e+05 Fmax= 9.49158e+03, atom= 1334
Step=   48, Dmax= 2.0e-02 nm, Epot= -4.93018e+05 Fmax= 2.10456e+04, atom= 1334
Step=   49, Dmax= 1.0e-02 nm, Epot= -4.93729e+05 Fmax= 5.78673e+03, atom= 1334
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.93938e+05 Fmax= 1.23735e+04, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.94354e+05 Fmax= 9.61236e+03, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.94331e+05 Fmax= 1.65857e+04, atom= 1334
Step=   53, Dmax= 8.6e-03 nm, Epot= -4.94743e+05 Fmax= 3.49521e+03, atom= 1334
Step=   54, Dmax= 1.0e-02 nm, Epot= -4.95075e+05 Fmax= 1.24589e+04, atom= 1334
Step=   55, Dmax= 1.2e-02 nm, Epot= -4.95549e+05 Fmax= 6.44564e+03, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.95521e+05 Fmax= 1.64145e+04, atom= 1334
Step=   57, Dmax= 7.4e-03 nm, Epot= -4.95835e+05 Fmax= 4.98823e+03, atom= 1334
Step=   58, Dmax= 8.9e-03 nm, Epot= -4.96096e+05 Fmax= 8.56873e+03, atom= 1334
Step=   59, Dmax= 1.1e-02 nm, Epot= -4.96380e+05 Fmax= 7.87436e+03, atom= 1334
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.96536e+05 Fmax= 1.16893e+04, atom= 1334
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.96786e+05 Fmax= 1.19440e+04, atom= 1334
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.96809e+05 Fmax= 1.62302e+04, atom= 1334
Step=   63, Dmax= 2.2e-02 nm, Epot= -4.96958e+05 Fmax= 1.77060e+04, atom= 1334
Step=   64, Dmax= 2.7e-02 nm, Epot= -4.96762e+05 Fmax= 2.27767e+04, atom= 1334
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.97785e+05 Fmax= 2.58631e+03, atom= 1334
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.97825e+05 Fmax= 2.21981e+04, atom= 1334
Step=   67, Dmax= 1.9e-02 nm, Epot= -4.98956e+05 Fmax= 7.14792e+03, atom= 1334
Step=   68, Dmax= 2.3e-02 nm, Epot= -4.97860e+05 Fmax= 2.81659e+04, atom= 1334
Step=   69, Dmax= 1.2e-02 nm, Epot= -4.99099e+05 Fmax= 1.05312e+04, atom= 1334
Step=   70, Dmax= 1.4e-02 nm, Epot= -4.99314e+05 Fmax= 1.05178e+04, atom= 1334
Step=   71, Dmax= 1.7e-02 nm, Epot= -4.99331e+05 Fmax= 1.48781e+04, atom= 1334
Step=   72, Dmax= 2.0e-02 nm, Epot= -4.99504e+05 Fmax= 1.54082e+04, atom= 1334
Step=   73, Dmax= 2.4e-02 nm, Epot= -4.99296e+05 Fmax= 2.10413e+04, atom= 1334
Step=   74, Dmax= 1.2e-02 nm, Epot= -5.00135e+05 Fmax= 2.84918e+03, atom= 1334
Step=   75, Dmax= 1.4e-02 nm, Epot= -5.00152e+05 Fmax= 1.88132e+04, atom= 1334
Step=   76, Dmax= 1.7e-02 nm, Epot= -5.00946e+05 Fmax= 7.52341e+03, atom= 1334
Step=   77, Dmax= 2.1e-02 nm, Epot= -5.00218e+05 Fmax= 2.38419e+04, atom= 1334
Step=   78, Dmax= 1.0e-02 nm, Epot= -5.01123e+05 Fmax= 8.16793e+03, atom= 1334
Step=   79, Dmax= 1.2e-02 nm, Epot= -5.01235e+05 Fmax= 1.08182e+04, atom= 1334
Step=   80, Dmax= 1.5e-02 nm, Epot= -5.01379e+05 Fmax= 1.17961e+04, atom= 1334
Step=   81, Dmax= 1.8e-02 nm, Epot= -5.01374e+05 Fmax= 1.54814e+04, atom= 1334
Step=   82, Dmax= 8.9e-03 nm, Epot= -5.01786e+05 Fmax= 1.85953e+03, atom= 1334
Step=   83, Dmax= 1.1e-02 nm, Epot= -5.02147e+05 Fmax= 1.42032e+04, atom= 1334
Step=   84, Dmax= 1.3e-02 nm, Epot= -5.02644e+05 Fmax= 5.47640e+03, atom= 1334
Step=   85, Dmax= 1.5e-02 nm, Epot= -5.02373e+05 Fmax= 1.79230e+04, atom= 1334
Step=   86, Dmax= 7.7e-03 nm, Epot= -5.02808e+05 Fmax= 6.22842e+03, atom= 1334
Step=   87, Dmax= 9.2e-03 nm, Epot= -5.02948e+05 Fmax= 7.97156e+03, atom= 1334
Step=   88, Dmax= 1.1e-02 nm, Epot= -5.03088e+05 Fmax= 8.90764e+03, atom= 1334
Step=   89, Dmax= 1.3e-02 nm, Epot= -5.03164e+05 Fmax= 1.14956e+04, atom= 1334
Step=   90, Dmax= 1.6e-02 nm, Epot= -5.03262e+05 Fmax= 1.28142e+04, atom= 1334
Step=   91, Dmax= 1.9e-02 nm, Epot= -5.03213e+05 Fmax= 1.64898e+04, atom= 1334
Step=   92, Dmax= 9.6e-03 nm, Epot= -5.03708e+05 Fmax= 1.85757e+03, atom= 1334
Step=   93, Dmax= 1.1e-02 nm, Epot= -5.03941e+05 Fmax= 1.54148e+04, atom= 1334
Step=   94, Dmax= 1.4e-02 nm, Epot= -5.04495e+05 Fmax= 5.73681e+03, atom= 1334
Step=   95, Dmax= 1.7e-02 nm, Epot= -5.04066e+05 Fmax= 1.94168e+04, atom= 1334
Step=   96, Dmax= 8.3e-03 nm, Epot= -5.04628e+05 Fmax= 6.84732e+03, atom= 1334
Step=   97, Dmax= 9.9e-03 nm, Epot= -5.04742e+05 Fmax= 8.40644e+03, atom= 1334
Step=   98, Dmax= 1.2e-02 nm, Epot= -5.04845e+05 Fmax= 9.73692e+03, atom= 1334
Step=   99, Dmax= 1.4e-02 nm, Epot= -5.04892e+05 Fmax= 1.21810e+04, atom= 1334
Step=  100, Dmax= 1.7e-02 nm, Epot= -5.04940e+05 Fmax= 1.39433e+04, atom= 1334
Step=  101, Dmax= 2.1e-02 nm, Epot= -5.04850e+05 Fmax= 1.75312e+04, atom= 1334
Step=  102, Dmax= 1.0e-02 nm, Epot= -5.05445e+05 Fmax= 1.81943e+03, atom= 1334
Step=  103, Dmax= 1.2e-02 nm, Epot= -5.05546e+05 Fmax= 1.68778e+04, atom= 1748
Step=  104, Dmax= 1.5e-02 nm, Epot= -5.06191e+05 Fmax= 5.93637e+03, atom= 1748
Step=  105, Dmax= 1.8e-02 nm, Epot= -5.05602e+05 Fmax= 2.13397e+04, atom= 1748
Step=  106, Dmax= 8.9e-03 nm, Epot= -5.06293e+05 Fmax= 7.71984e+03, atom= 1748
Step=  107, Dmax= 1.1e-02 nm, Epot= -5.06401e+05 Fmax= 8.67161e+03, atom= 1748
Step=  108, Dmax= 1.3e-02 nm, Epot= -5.06456e+05 Fmax= 1.09779e+04, atom= 1748
Step=  109, Dmax= 1.5e-02 nm, Epot= -5.06518e+05 Fmax= 1.26130e+04, atom= 1748
Step=  110, Dmax= 1.8e-02 nm, Epot= -5.06490e+05 Fmax= 1.56375e+04, atom= 1748
Step=  111, Dmax= 9.2e-03 nm, Epot= -5.06909e+05 Fmax= 1.53541e+03, atom= 1748
Step=  112, Dmax= 1.1e-02 nm, Epot= -5.07151e+05 Fmax= 1.54387e+04, atom= 1748
Step=  113, Dmax= 1.3e-02 nm, Epot= -5.07639e+05 Fmax= 4.96462e+03, atom= 1748
Step=  114, Dmax= 1.6e-02 nm, Epot= -5.07275e+05 Fmax= 1.95392e+04, atom= 1748
Step=  115, Dmax= 8.0e-03 nm, Epot= -5.07734e+05 Fmax= 7.29061e+03, atom= 1748
Step=  116, Dmax= 9.6e-03 nm, Epot= -5.07851e+05 Fmax= 7.39138e+03, atom= 1748
Step=  117, Dmax= 1.1e-02 nm, Epot= -5.07902e+05 Fmax= 1.02444e+04, atom= 1748
Step=  118, Dmax= 1.4e-02 nm, Epot= -5.08000e+05 Fmax= 1.08785e+04, atom= 1748
Step=  119, Dmax= 1.7e-02 nm, Epot= -5.07976e+05 Fmax= 1.44952e+04, atom= 1748
Step=  120, Dmax= 8.3e-03 nm, Epot= -5.08270e+05 Fmax= 1.81012e+03, atom= 1748
Step=  121, Dmax= 9.9e-03 nm, Epot= -5.08453e+05 Fmax= 1.34552e+04, atom= 1748
Step=  122, Dmax= 1.2e-02 nm, Epot= -5.08791e+05 Fmax= 4.86070e+03, atom= 1748
Step=  123, Dmax= 1.4e-02 nm, Epot= -5.08613e+05 Fmax= 1.70420e+04, atom= 1748
Step=  124, Dmax= 7.1e-03 nm, Epot= -5.08893e+05 Fmax= 6.09983e+03, atom= 1748
Step=  125, Dmax= 8.6e-03 nm, Epot= -5.08991e+05 Fmax= 7.07623e+03, atom= 1748
Step=  126, Dmax= 1.0e-02 nm, Epot= -5.09073e+05 Fmax= 8.70104e+03, atom= 1748
Step=  127, Dmax= 1.2e-02 nm, Epot= -5.09146e+05 Fmax= 1.02658e+04, atom= 1748
Step=  128, Dmax= 1.5e-02 nm, Epot= -5.09190e+05 Fmax= 1.24341e+04, atom= 1748
Step=  129, Dmax= 1.8e-02 nm, Epot= -5.09210e+05 Fmax= 1.48504e+04, atom= 1748
Step=  130, Dmax= 2.1e-02 nm, Epot= -5.09185e+05 Fmax= 1.77735e+04, atom= 1748
Step=  131, Dmax= 1.1e-02 nm, Epot= -5.09593e+05 Fmax= 1.49971e+03, atom= 1748
Step=  132, Dmax= 1.3e-02 nm, Epot= -5.09811e+05 Fmax= 1.81778e+04, atom= 1748
Step=  133, Dmax= 1.5e-02 nm, Epot= -5.10293e+05 Fmax= 5.42408e+03, atom= 1748
Step=  134, Dmax= 1.8e-02 nm, Epot= -5.09884e+05 Fmax= 2.29419e+04, atom= 1748
Step=  135, Dmax= 9.2e-03 nm, Epot= -5.10359e+05 Fmax= 8.77309e+03, atom= 1748
Step=  136, Dmax= 1.1e-02 nm, Epot= -5.10467e+05 Fmax= 8.19180e+03, atom= 1748
Step=  137, Dmax= 1.3e-02 nm, Epot= -5.10482e+05 Fmax= 1.22143e+04, atom= 1748
Step=  138, Dmax= 1.6e-02 nm, Epot= -5.10580e+05 Fmax= 1.21870e+04, atom= 1748
Step=  139, Dmax= 1.9e-02 nm, Epot= -5.10511e+05 Fmax= 1.71514e+04, atom= 1748
Step=  140, Dmax= 9.6e-03 nm, Epot= -5.10821e+05 Fmax= 2.48580e+03, atom= 1748
Step=  141, Dmax= 1.1e-02 nm, Epot= -5.10882e+05 Fmax= 1.51210e+04, atom= 1748
Step=  142, Dmax= 1.4e-02 nm, Epot= -5.11184e+05 Fmax= 6.05535e+03, atom= 1748
Step=  143, Dmax= 1.7e-02 nm, Epot= -5.10981e+05 Fmax= 1.92404e+04, atom= 1748
Step=  144, Dmax= 8.3e-03 nm, Epot= -5.11273e+05 Fmax= 6.60425e+03, atom= 1748
Step=  145, Dmax= 9.9e-03 nm, Epot= -5.11343e+05 Fmax= 8.63369e+03, atom= 1748
Step=  146, Dmax= 1.2e-02 nm, Epot= -5.11419e+05 Fmax= 9.59069e+03, atom= 1748
Step=  147, Dmax= 1.4e-02 nm, Epot= -5.11455e+05 Fmax= 1.23389e+04, atom= 1748
Step=  148, Dmax= 1.7e-02 nm, Epot= -5.11505e+05 Fmax= 1.38765e+04, atom= 1748
Step=  149, Dmax= 2.1e-02 nm, Epot= -5.11475e+05 Fmax= 1.76538e+04, atom= 1748
Step=  150, Dmax= 1.0e-02 nm, Epot= -5.11771e+05 Fmax= 1.89811e+03, atom= 1748
Step=  151, Dmax= 1.2e-02 nm, Epot= -5.11904e+05 Fmax= 1.70256e+04, atom= 1748
Step=  152, Dmax= 1.5e-02 nm, Epot= -5.12237e+05 Fmax= 5.77689e+03, atom= 1748
Step=  153, Dmax= 1.8e-02 nm, Epot= -5.12001e+05 Fmax= 2.13883e+04, atom= 1748
Step=  154, Dmax= 8.9e-03 nm, Epot= -5.12309e+05 Fmax= 7.82552e+03, atom= 1748
Step=  155, Dmax= 1.1e-02 nm, Epot= -5.12387e+05 Fmax= 8.56705e+03, atom= 1748
Step=  156, Dmax= 1.3e-02 nm, Epot= -5.12435e+05 Fmax= 1.10180e+04, atom= 1748
Step=  157, Dmax= 1.5e-02 nm, Epot= -5.12490e+05 Fmax= 1.25614e+04, atom= 1748
Step=  158, Dmax= 1.8e-02 nm, Epot= -5.12499e+05 Fmax= 1.56088e+04, atom= 1748
Step=  159, Dmax= 2.2e-02 nm, Epot= -5.12502e+05 Fmax= 1.82804e+04, atom= 1748
Step=  160, Dmax= 2.6e-02 nm, Epot= -5.12437e+05 Fmax= 2.21661e+04, atom= 1748
Step=  161, Dmax= 1.3e-02 nm, Epot= -5.12872e+05 Fmax= 2.01316e+03, atom= 1748
Step=  162, Dmax= 1.6e-02 nm, Epot= -5.12897e+05 Fmax= 2.24733e+04, atom= 1748
Step=  163, Dmax= 1.9e-02 nm, Epot= -5.13377e+05 Fmax= 6.85493e+03, atom= 1748
Step=  164, Dmax= 2.3e-02 nm, Epot= -5.12884e+05 Fmax= 2.83890e+04, atom= 1748
Step=  165, Dmax= 1.1e-02 nm, Epot= -5.13416e+05 Fmax= 1.07926e+04, atom= 1748
Step=  166, Dmax= 1.4e-02 nm, Epot= -5.13502e+05 Fmax= 1.02700e+04, atom= 1748
Step=  167, Dmax= 1.6e-02 nm, Epot= -5.13490e+05 Fmax= 1.50807e+04, atom= 1748
