
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_D79P
Command line:
  gmx mdrun -v -deffnm O52681_D79P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_D79P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  3.19524e+06 Fmax= 5.66995e+08, atom= 1881
Step=    1, Dmax= 1.0e-02 nm, Epot= -2.10059e+05 Fmax= 2.81498e+07, atom= 1881
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.21178e+05 Fmax= 1.62878e+06, atom= 1881
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.36192e+05 Fmax= 1.10499e+05, atom= 1881
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.38119e+05 Fmax= 1.96144e+04, atom= 1880
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.42001e+05 Fmax= 6.89669e+03, atom= 1881
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.51103e+05 Fmax= 1.61592e+04, atom= 1880
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.54460e+05 Fmax= 2.62899e+04, atom= 1880
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.57014e+05 Fmax= 1.91629e+04, atom= 1880
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.59270e+05 Fmax= 3.90036e+04, atom= 1880
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.61594e+05 Fmax= 2.87355e+04, atom= 1880
Step=   11, Dmax= 6.2e-02 nm, Epot= -4.61437e+05 Fmax= 5.39051e+04, atom= 1880
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.63685e+05 Fmax= 1.25208e+04, atom= 1880
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.64971e+05 Fmax= 3.58049e+04, atom= 1880
Step=   14, Dmax= 4.5e-02 nm, Epot= -4.67115e+05 Fmax= 2.33772e+04, atom= 1880
Step=   15, Dmax= 5.3e-02 nm, Epot= -4.62973e+05 Fmax= 4.72073e+04, atom= 1880
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.68990e+05 Fmax= 1.17902e+04, atom= 1880
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.66231e+05 Fmax= 3.35710e+04, atom= 1746
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.70186e+05 Fmax= 1.15156e+04, atom= 1746
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.70776e+05 Fmax= 1.77758e+04, atom= 1746
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.71932e+05 Fmax= 1.74275e+04, atom= 1746
