
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_G80P
Command line:
  gmx mdrun -v -deffnm O52681_G80P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_G80P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.30777e+05 Fmax= 5.60905e+05, atom= 1323
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.36199e+05 Fmax= 1.21083e+05, atom= 1323
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.37923e+05 Fmax= 2.67747e+04, atom= 1323
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.40246e+05 Fmax= 6.30481e+03, atom= 1323
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.48147e+05 Fmax= 3.00794e+03, atom= 1343
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.59318e+05 Fmax= 1.46261e+04, atom= 1327
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.61835e+05 Fmax= 2.01625e+04, atom= 1325
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.63926e+05 Fmax= 2.03685e+04, atom= 1325
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.64287e+05 Fmax= 2.83773e+04, atom= 1325
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.65185e+05 Fmax= 2.96428e+04, atom= 1325
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.62823e+05 Fmax= 4.00713e+04, atom= 1325
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.69633e+05 Fmax= 5.57612e+03, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.65126e+05 Fmax= 4.10791e+04, atom= 1334
Step=   13, Dmax= 1.5e-02 nm, Epot= -4.70517e+05 Fmax= 1.78450e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.72595e+05 Fmax= 1.06324e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.72506e+05 Fmax= 2.32019e+04, atom= 1334
Step=   16, Dmax= 1.1e-02 nm, Epot= -4.73726e+05 Fmax= 6.30673e+03, atom= 1334
Step=   17, Dmax= 1.3e-02 nm, Epot= -4.74697e+05 Fmax= 1.43266e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.75837e+05 Fmax= 1.01229e+04, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.76204e+05 Fmax= 1.94680e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.77370e+05 Fmax= 1.57177e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.77002e+05 Fmax= 2.66913e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.78580e+05 Fmax= 5.52250e+03, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.79231e+05 Fmax= 1.96973e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.80575e+05 Fmax= 1.09024e+04, atom= 1334
