
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_L120P
Command line:
  gmx mdrun -v -deffnm O52681_L120P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_L120P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.37361e+05 Fmax= 4.24538e+04, atom= 1323
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.38708e+05 Fmax= 1.82645e+04, atom= 1323
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.41069e+05 Fmax= 6.68412e+03, atom= 1323
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.47201e+05 Fmax= 2.01270e+03, atom= 1323
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.63353e+05 Fmax= 9.20816e+03, atom= 1898
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.65384e+05 Fmax= 1.79221e+04, atom= 1896
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.67398e+05 Fmax= 1.54711e+04, atom= 1896
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.68681e+05 Fmax= 2.46316e+04, atom= 1896
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.70110e+05 Fmax= 2.31745e+04, atom= 1896
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.70681e+05 Fmax= 3.43789e+04, atom= 1896
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.71799e+05 Fmax= 3.44609e+04, atom= 1896
Step=   11, Dmax= 6.2e-02 nm, Epot= -4.71306e+05 Fmax= 4.84330e+04, atom= 1896
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.74169e+05 Fmax= 7.04473e+03, atom= 1896
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.74859e+05 Fmax= 4.28592e+04, atom= 1896
Step=   14, Dmax= 4.5e-02 nm, Epot= -4.77932e+05 Fmax= 1.74351e+04, atom= 1896
Step=   15, Dmax= 5.3e-02 nm, Epot= -4.74966e+05 Fmax= 5.44771e+04, atom= 1896
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.78713e+05 Fmax= 1.81267e+04, atom= 1896
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.79052e+05 Fmax= 2.49340e+04, atom= 1896
Step=   18, Dmax= 3.9e-02 nm, Epot= -4.79538e+05 Fmax= 2.64856e+04, atom= 1896
Step=   19, Dmax= 4.6e-02 nm, Epot= -4.78858e+05 Fmax= 3.53984e+04, atom= 1896
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.81449e+05 Fmax= 5.85038e+03, atom= 1744
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.81466e+05 Fmax= 3.64534e+04, atom= 1744
Step=   22, Dmax= 3.3e-02 nm, Epot= -4.83937e+05 Fmax= 1.40727e+04, atom= 1744
Step=   23, Dmax= 4.0e-02 nm, Epot= -4.83068e+05 Fmax= 4.65766e+04, atom= 1744
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.84494e+05 Fmax= 1.62662e+04, atom= 1744
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.84983e+05 Fmax= 2.01094e+04, atom= 1744
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.85436e+05 Fmax= 2.35491e+04, atom= 1744
Step=   27, Dmax= 3.5e-02 nm, Epot= -4.85782e+05 Fmax= 2.86118e+04, atom= 1744
Step=   28, Dmax= 4.1e-02 nm, Epot= -4.86050e+05 Fmax= 3.38420e+04, atom= 1744
Step=   29, Dmax= 5.0e-02 nm, Epot= -4.86143e+05 Fmax= 4.04355e+04, atom= 1744
Step=   30, Dmax= 6.0e-02 nm, Epot= -4.86012e+05 Fmax= 4.80977e+04, atom= 1744
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.87775e+05 Fmax= 4.49326e+03, atom= 1744
Step=   32, Dmax= 3.6e-02 nm, Epot= -4.88318e+05 Fmax= 4.98670e+04, atom= 1744
Step=   33, Dmax= 4.3e-02 nm, Epot= -4.90448e+05 Fmax= 1.67964e+04, atom= 1744
Step=   34, Dmax= 5.2e-02 nm, Epot= -4.88462e+05 Fmax= 6.03880e+04, atom= 1744
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.90706e+05 Fmax= 2.24141e+04, atom= 1744
Step=   36, Dmax= 3.1e-02 nm, Epot= -4.91000e+05 Fmax= 2.47425e+04, atom= 1744
Step=   37, Dmax= 3.7e-02 nm, Epot= -4.91089e+05 Fmax= 3.13253e+04, atom= 1744
Step=   38, Dmax= 4.5e-02 nm, Epot= -4.91190e+05 Fmax= 3.58396e+04, atom= 1744
Step=   39, Dmax= 5.3e-02 nm, Epot= -4.90964e+05 Fmax= 4.37838e+04, atom= 1744
Step=   40, Dmax= 2.7e-02 nm, Epot= -4.92462e+05 Fmax= 4.49641e+03, atom= 1744
Step=   41, Dmax= 3.2e-02 nm, Epot= -4.92539e+05 Fmax= 4.41487e+04, atom= 1744
Step=   42, Dmax= 3.8e-02 nm, Epot= -4.94270e+05 Fmax= 1.49587e+04, atom= 1744
Step=   43, Dmax= 4.6e-02 nm, Epot= -4.92454e+05 Fmax= 5.48980e+04, atom= 1744
Step=   44, Dmax= 2.3e-02 nm, Epot= -4.94455e+05 Fmax= 2.02154e+04, atom= 1744
Step=   45, Dmax= 2.8e-02 nm, Epot= -4.94690e+05 Fmax= 2.19381e+04, atom= 1744
Step=   46, Dmax= 3.3e-02 nm, Epot= -4.94717e+05 Fmax= 2.84454e+04, atom= 1744
Step=   47, Dmax= 4.0e-02 nm, Epot= -4.94813e+05 Fmax= 3.17603e+04, atom= 1744
Step=   48, Dmax= 4.8e-02 nm, Epot= -4.94529e+05 Fmax= 4.01088e+04, atom= 1744
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.95881e+05 Fmax= 4.43553e+03, atom= 1744
Step=   50, Dmax= 2.9e-02 nm, Epot= -4.95709e+05 Fmax= 3.98863e+04, atom= 1744
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.96272e+05 Fmax= 1.74389e+04, atom= 1744
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.96684e+05 Fmax= 8.80850e+03, atom= 1744
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.96713e+05 Fmax= 2.27829e+04, atom= 1744
Step=   54, Dmax= 2.5e-02 nm, Epot= -4.97201e+05 Fmax= 1.49835e+04, atom= 1744
Step=   55, Dmax= 3.0e-02 nm, Epot= -4.96888e+05 Fmax= 3.02909e+04, atom= 1744
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.97549e+05 Fmax= 7.69358e+03, atom= 1744
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.97660e+05 Fmax= 1.94580e+04, atom= 1744
Step=   58, Dmax= 2.1e-02 nm, Epot= -4.98058e+05 Fmax= 1.32076e+04, atom= 1744
Step=   59, Dmax= 2.6e-02 nm, Epot= -4.97905e+05 Fmax= 2.59126e+04, atom= 1744
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.98362e+05 Fmax= 6.36231e+03, atom= 1744
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.98529e+05 Fmax= 1.72705e+04, atom= 1744
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.98887e+05 Fmax= 1.09751e+04, atom= 1744
Step=   63, Dmax= 2.2e-02 nm, Epot= -4.98822e+05 Fmax= 2.29472e+04, atom= 1744
Step=   64, Dmax= 1.1e-02 nm, Epot= -4.99141e+05 Fmax= 6.00559e+03, atom= 1744
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.99341e+05 Fmax= 1.42960e+04, atom= 1744
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.99623e+05 Fmax= 1.01531e+04, atom= 1744
Step=   67, Dmax= 1.9e-02 nm, Epot= -4.99663e+05 Fmax= 1.91215e+04, atom= 1744
Step=   68, Dmax= 2.3e-02 nm, Epot= -4.99959e+05 Fmax= 1.60063e+04, atom= 1744
Step=   69, Dmax= 2.8e-02 nm, Epot= -4.99798e+05 Fmax= 2.60772e+04, atom= 1744
Step=   70, Dmax= 1.4e-02 nm, Epot= -5.00323e+05 Fmax= 5.05603e+03, atom= 1744
Step=   71, Dmax= 1.7e-02 nm, Epot= -5.00433e+05 Fmax= 2.04039e+04, atom= 1744
Step=   72, Dmax= 2.0e-02 nm, Epot= -5.00893e+05 Fmax= 1.00183e+04, atom= 1744
Step=   73, Dmax= 2.4e-02 nm, Epot= -5.00642e+05 Fmax= 2.64712e+04, atom= 1744
Step=   74, Dmax= 1.2e-02 nm, Epot= -5.01101e+05 Fmax= 8.24827e+03, atom= 1744
Step=   75, Dmax= 1.4e-02 nm, Epot= -5.01234e+05 Fmax= 1.36164e+04, atom= 1744
Step=   76, Dmax= 1.7e-02 nm, Epot= -5.01440e+05 Fmax= 1.26681e+04, atom= 1744
Step=   77, Dmax= 2.1e-02 nm, Epot= -5.01474e+05 Fmax= 1.88253e+04, atom= 1744
Step=   78, Dmax= 2.5e-02 nm, Epot= -5.01651e+05 Fmax= 1.89231e+04, atom= 1744
Step=   79, Dmax= 3.0e-02 nm, Epot= -5.01526e+05 Fmax= 2.63159e+04, atom= 1744
