
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_T81P
Command line:
  gmx mdrun -v -deffnm O52681_T81P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_T81P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38317e+05 Fmax= 6.08652e+03, atom= 1346
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.43512e+05 Fmax= 5.40835e+03, atom= 1344
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.49027e+05 Fmax= 9.86376e+03, atom= 1344
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.52180e+05 Fmax= 1.00387e+04, atom= 1344
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.55216e+05 Fmax= 1.28936e+04, atom= 1344
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.57636e+05 Fmax= 1.53678e+04, atom= 1344
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.59544e+05 Fmax= 1.79787e+04, atom= 1344
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.60610e+05 Fmax= 2.30068e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.61026e+05 Fmax= 3.12398e+04, atom= 1334
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.62403e+05 Fmax= 3.38973e+04, atom= 1334
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.61657e+05 Fmax= 4.33073e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.67248e+05 Fmax= 5.12067e+03, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.68030e+05 Fmax= 4.28602e+04, atom= 1334
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.73248e+05 Fmax= 1.41185e+04, atom= 1334
Step=   14, Dmax= 4.5e-02 nm, Epot= -4.68392e+05 Fmax= 5.37686e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.73899e+05 Fmax= 1.99794e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.74751e+05 Fmax= 2.06655e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.74827e+05 Fmax= 2.81915e+04, atom= 1334
Step=   18, Dmax= 3.9e-02 nm, Epot= -4.75367e+05 Fmax= 2.99922e+04, atom= 1334
Step=   19, Dmax= 4.6e-02 nm, Epot= -4.74426e+05 Fmax= 3.96639e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.78162e+05 Fmax= 5.08873e+03, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.77708e+05 Fmax= 3.69577e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.79149e+05 Fmax= 1.57097e+04, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.80144e+05 Fmax= 9.72841e+03, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.80328e+05 Fmax= 2.06061e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.81369e+05 Fmax= 1.59787e+04, atom= 1334
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.80858e+05 Fmax= 2.76434e+04, atom= 1334
Step=   27, Dmax= 1.4e-02 nm, Epot= -4.82391e+05 Fmax= 5.86162e+03, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.82727e+05 Fmax= 2.06762e+04, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.83977e+05 Fmax= 1.08588e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.83332e+05 Fmax= 2.71683e+04, atom= 1334
Step=   31, Dmax= 1.2e-02 nm, Epot= -4.84604e+05 Fmax= 8.16759e+03, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.84983e+05 Fmax= 1.44795e+04, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.85592e+05 Fmax= 1.28986e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.85654e+05 Fmax= 1.97345e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.86162e+05 Fmax= 1.95687e+04, atom= 1334
Step=   36, Dmax= 3.1e-02 nm, Epot= -4.85781e+05 Fmax= 2.72896e+04, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.87387e+05 Fmax= 3.92706e+03, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.87532e+05 Fmax= 2.47232e+04, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.89145e+05 Fmax= 9.25822e+03, atom= 1334
Step=   40, Dmax= 2.7e-02 nm, Epot= -4.87778e+05 Fmax= 3.16495e+04, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.89506e+05 Fmax= 1.12144e+04, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.89823e+05 Fmax= 1.31697e+04, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.90043e+05 Fmax= 1.62530e+04, atom= 1334
Step=   44, Dmax= 2.3e-02 nm, Epot= -4.90226e+05 Fmax= 1.88299e+04, atom= 1334
Step=   45, Dmax= 2.8e-02 nm, Epot= -4.90172e+05 Fmax= 2.33754e+04, atom= 1334
Step=   46, Dmax= 1.4e-02 nm, Epot= -4.91298e+05 Fmax= 2.33689e+03, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.92014e+05 Fmax= 2.26508e+04, atom= 1334
Step=   48, Dmax= 2.0e-02 nm, Epot= -4.93319e+05 Fmax= 7.95945e+03, atom= 1334
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.92289e+05 Fmax= 2.83932e+04, atom= 1334
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.93585e+05 Fmax= 1.02478e+04, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.93844e+05 Fmax= 1.17763e+04, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.94018e+05 Fmax= 1.44450e+04, atom= 1334
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.94149e+05 Fmax= 1.71753e+04, atom= 1334
Step=   54, Dmax= 2.5e-02 nm, Epot= -4.94169e+05 Fmax= 2.05185e+04, atom= 1334
Step=   55, Dmax= 3.0e-02 nm, Epot= -4.94030e+05 Fmax= 2.48042e+04, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.95300e+05 Fmax= 2.22928e+03, atom= 1334
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.95616e+05 Fmax= 2.45694e+04, atom= 1334
Step=   58, Dmax= 2.1e-02 nm, Epot= -4.97014e+05 Fmax= 8.35507e+03, atom= 1334
Step=   59, Dmax= 2.6e-02 nm, Epot= -4.95622e+05 Fmax= 3.07007e+04, atom= 1334
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.97180e+05 Fmax= 1.12214e+04, atom= 1334
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.97377e+05 Fmax= 1.24416e+04, atom= 1334
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.97439e+05 Fmax= 1.57368e+04, atom= 1334
Step=   63, Dmax= 2.2e-02 nm, Epot= -4.97510e+05 Fmax= 1.82237e+04, atom= 1334
Step=   64, Dmax= 2.7e-02 nm, Epot= -4.97389e+05 Fmax= 2.22606e+04, atom= 1334
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.98369e+05 Fmax= 2.07597e+03, atom= 1334
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.98560e+05 Fmax= 2.28363e+04, atom= 1334
Step=   67, Dmax= 1.9e-02 nm, Epot= -4.99751e+05 Fmax= 6.55487e+03, atom= 1334
Step=   68, Dmax= 2.3e-02 nm, Epot= -4.98602e+05 Fmax= 2.87690e+04, atom= 1334
Step=   69, Dmax= 1.2e-02 nm, Epot= -4.99857e+05 Fmax= 1.11453e+04, atom= 1334
Step=   70, Dmax= 1.4e-02 nm, Epot= -5.00104e+05 Fmax= 9.91450e+03, atom= 1334
Step=   71, Dmax= 1.7e-02 nm, Epot= -5.00058e+05 Fmax= 1.54976e+04, atom= 1334
Step=   72, Dmax= 8.3e-03 nm, Epot= -5.00430e+05 Fmax= 2.79989e+03, atom= 1334
Step=   73, Dmax= 1.0e-02 nm, Epot= -5.00663e+05 Fmax= 1.22406e+04, atom= 1334
Step=   74, Dmax= 1.2e-02 nm, Epot= -5.01052e+05 Fmax= 6.06516e+03, atom= 1334
Step=   75, Dmax= 1.4e-02 nm, Epot= -5.00943e+05 Fmax= 1.57146e+04, atom= 1334
