
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128A
Command line:
  gmx mdrun -v -deffnm O52681_V128A_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128A_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38533e+05 Fmax= 3.26084e+03, atom= 51
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.47197e+05 Fmax= 4.30052e+03, atom= 1996
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.50870e+05 Fmax= 1.17041e+04, atom= 1334
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.55076e+05 Fmax= 1.00396e+04, atom= 1334
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.56884e+05 Fmax= 1.60433e+04, atom= 1334
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.59438e+05 Fmax= 1.57394e+04, atom= 1334
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.60644e+05 Fmax= 2.20433e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.62420e+05 Fmax= 2.35268e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.62896e+05 Fmax= 3.06737e+04, atom= 1334
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.63777e+05 Fmax= 3.43636e+04, atom= 1334
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.63059e+05 Fmax= 4.27789e+04, atom= 1334
