
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128C
Command line:
  gmx mdrun -v -deffnm O52681_V128C_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128C_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38332e+05 Fmax= 3.15958e+03, atom= 51
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.47204e+05 Fmax= 4.29857e+03, atom= 1223
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.50563e+05 Fmax= 1.23044e+04, atom= 1334
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.55126e+05 Fmax= 9.42612e+03, atom= 1334
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.56802e+05 Fmax= 1.66545e+04, atom= 1334
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.59535e+05 Fmax= 1.51244e+04, atom= 1334
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.60550e+05 Fmax= 2.26525e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.62509e+05 Fmax= 2.29169e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.62734e+05 Fmax= 3.12813e+04, atom= 1334
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.63845e+05 Fmax= 3.37574e+04, atom= 1334
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.62770e+05 Fmax= 4.33880e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.68551e+05 Fmax= 5.21923e+03, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.68445e+05 Fmax= 4.26463e+04, atom= 1334
Step=   13, Dmax= 1.5e-02 nm, Epot= -4.70354e+05 Fmax= 1.83734e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.71941e+05 Fmax= 9.88667e+03, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.72231e+05 Fmax= 2.42872e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.74009e+05 Fmax= 1.63638e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.72982e+05 Fmax= 3.25694e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.75319e+05 Fmax= 8.13534e+03, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.75767e+05 Fmax= 2.10789e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.77188e+05 Fmax= 1.42212e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.76638e+05 Fmax= 2.78611e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.78236e+05 Fmax= 6.84609e+03, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.78758e+05 Fmax= 1.87221e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.79960e+05 Fmax= 1.16775e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.79626e+05 Fmax= 2.49940e+04, atom= 1334
Step=   26, Dmax= 1.2e-02 nm, Epot= -4.80773e+05 Fmax= 6.67277e+03, atom= 1334
Step=   27, Dmax= 1.4e-02 nm, Epot= -4.81331e+05 Fmax= 1.51496e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.82182e+05 Fmax= 1.12675e+04, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.82234e+05 Fmax= 2.02077e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.83056e+05 Fmax= 1.77248e+04, atom= 1334
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.82515e+05 Fmax= 2.74979e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.84234e+05 Fmax= 4.93621e+03, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.84394e+05 Fmax= 2.26296e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.85897e+05 Fmax= 1.00987e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.84782e+05 Fmax= 2.93422e+04, atom= 1334
Step=   36, Dmax= 1.3e-02 nm, Epot= -4.86412e+05 Fmax= 9.63403e+03, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.86728e+05 Fmax= 1.38671e+04, atom= 1334
