
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128D
Command line:
  gmx mdrun -v -deffnm O52681_V128D_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128D_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38633e+05 Fmax= 3.27626e+03, atom= 51
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.47302e+05 Fmax= 4.06739e+03, atom= 1223
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.50831e+05 Fmax= 1.22554e+04, atom= 1334
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.55532e+05 Fmax= 9.53605e+03, atom= 1334
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.57200e+05 Fmax= 1.65568e+04, atom= 1334
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.59940e+05 Fmax= 1.51769e+04, atom= 1334
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.60956e+05 Fmax= 2.25519e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.62907e+05 Fmax= 2.29445e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.63120e+05 Fmax= 3.11695e+04, atom= 1334
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.64196e+05 Fmax= 3.37619e+04, atom= 1334
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.63072e+05 Fmax= 4.32511e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.69041e+05 Fmax= 5.16246e+03, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.68795e+05 Fmax= 4.25860e+04, atom= 1334
Step=   13, Dmax= 1.5e-02 nm, Epot= -4.70841e+05 Fmax= 1.83646e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.72463e+05 Fmax= 9.85573e+03, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.72687e+05 Fmax= 2.42632e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.74513e+05 Fmax= 1.63287e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.73355e+05 Fmax= 3.25281e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.75855e+05 Fmax= 8.13130e+03, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.76236e+05 Fmax= 2.10395e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.77698e+05 Fmax= 1.42061e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.77034e+05 Fmax= 2.78123e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.78775e+05 Fmax= 6.83057e+03, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.79235e+05 Fmax= 1.86971e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.80481e+05 Fmax= 1.16584e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.80036e+05 Fmax= 2.49577e+04, atom= 1334
Step=   26, Dmax= 1.2e-02 nm, Epot= -4.81313e+05 Fmax= 6.66402e+03, atom= 1334
Step=   27, Dmax= 1.4e-02 nm, Epot= -4.81827e+05 Fmax= 1.51265e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.82700e+05 Fmax= 1.12514e+04, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.82679e+05 Fmax= 2.01775e+04, atom= 1334
Step=   30, Dmax= 1.0e-02 nm, Epot= -4.83455e+05 Fmax= 4.47676e+03, atom= 1334
Step=   31, Dmax= 1.2e-02 nm, Epot= -4.84113e+05 Fmax= 1.46580e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.84999e+05 Fmax= 8.03320e+03, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.84981e+05 Fmax= 1.93934e+04, atom= 1334
Step=   34, Dmax= 8.9e-03 nm, Epot= -4.85561e+05 Fmax= 5.68523e+03, atom= 1334
Step=   35, Dmax= 1.1e-02 nm, Epot= -4.86075e+05 Fmax= 1.05883e+04, atom= 1334
Step=   36, Dmax= 1.3e-02 nm, Epot= -4.86635e+05 Fmax= 9.14557e+03, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.86900e+05 Fmax= 1.43374e+04, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.87402e+05 Fmax= 1.40178e+04, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.87374e+05 Fmax= 1.97809e+04, atom= 1334
Step=   40, Dmax= 1.1e-02 nm, Epot= -4.88234e+05 Fmax= 2.90725e+03, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.88904e+05 Fmax= 1.77613e+04, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.89972e+05 Fmax= 6.67205e+03, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.89492e+05 Fmax= 2.28373e+04, atom= 1334
Step=   44, Dmax= 9.6e-03 nm, Epot= -4.90361e+05 Fmax= 8.08926e+03, atom= 1334
Step=   45, Dmax= 1.2e-02 nm, Epot= -4.90719e+05 Fmax= 9.44503e+03, atom= 1334
Step=   46, Dmax= 1.4e-02 nm, Epot= -4.91012e+05 Fmax= 1.17684e+04, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.91286e+05 Fmax= 1.34928e+04, atom= 1334
Step=   48, Dmax= 2.0e-02 nm, Epot= -4.91401e+05 Fmax= 1.69720e+04, atom= 1334
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.91526e+05 Fmax= 1.93507e+04, atom= 1334
Step=   50, Dmax= 2.9e-02 nm, Epot= -4.91294e+05 Fmax= 2.43313e+04, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.92776e+05 Fmax= 2.55981e+03, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.92965e+05 Fmax= 2.33486e+04, atom= 1334
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.94528e+05 Fmax= 8.32844e+03, atom= 1334
Step=   54, Dmax= 2.5e-02 nm, Epot= -4.92981e+05 Fmax= 2.93091e+04, atom= 1334
Step=   55, Dmax= 1.2e-02 nm, Epot= -4.94752e+05 Fmax= 1.05197e+04, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.94965e+05 Fmax= 1.22723e+04, atom= 1334
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.95083e+05 Fmax= 1.48718e+04, atom= 1334
Step=   58, Dmax= 2.1e-02 nm, Epot= -4.95126e+05 Fmax= 1.78503e+04, atom= 1334
Step=   59, Dmax= 2.6e-02 nm, Epot= -4.95052e+05 Fmax= 2.11613e+04, atom= 1334
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.96161e+05 Fmax= 1.71427e+03, atom= 1334
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.96629e+05 Fmax= 2.23231e+04, atom= 1334
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.98064e+05 Fmax= 6.02537e+03, atom= 1334
Step=   63, Dmax= 2.2e-02 nm, Epot= -4.96692e+05 Fmax= 2.80021e+04, atom= 1334
Step=   64, Dmax= 1.1e-02 nm, Epot= -4.98173e+05 Fmax= 1.10374e+04, atom= 1334
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.98485e+05 Fmax= 9.26032e+03, atom= 1334
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.98396e+05 Fmax= 1.52332e+04, atom= 1334
Step=   67, Dmax= 8.0e-03 nm, Epot= -4.98849e+05 Fmax= 2.99444e+03, atom= 1334
Step=   68, Dmax= 9.6e-03 nm, Epot= -4.99071e+05 Fmax= 1.15105e+04, atom= 1334
Step=   69, Dmax= 1.2e-02 nm, Epot= -4.99500e+05 Fmax= 6.12718e+03, atom= 1334
Step=   70, Dmax= 1.4e-02 nm, Epot= -4.99376e+05 Fmax= 1.48580e+04, atom= 1334
