
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128E
Command line:
  gmx mdrun -v -deffnm O52681_V128E_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128E_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38707e+05 Fmax= 1.35553e+04, atom= 2009
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.41332e+05 Fmax= 2.66539e+03, atom= 51
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.53173e+05 Fmax= 6.36261e+03, atom= 2008
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.57220e+05 Fmax= 1.51098e+04, atom= 2008
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.59194e+05 Fmax= 1.06522e+04, atom= 2008
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.61837e+05 Fmax= 2.08442e+04, atom= 2008
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.63480e+05 Fmax= 1.63714e+04, atom= 2008
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.65370e+05 Fmax= 2.86892e+04, atom= 2008
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.66855e+05 Fmax= 2.46536e+04, atom= 2008
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.68097e+05 Fmax= 3.95648e+04, atom= 2008
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.69441e+05 Fmax= 3.62845e+04, atom= 2008
Step=   11, Dmax= 6.2e-02 nm, Epot= -4.69943e+05 Fmax= 5.43843e+04, atom= 2008
Step=   12, Dmax= 7.4e-02 nm, Epot= -4.71087e+05 Fmax= 5.13328e+04, atom= 2008
Step=   13, Dmax= 8.9e-02 nm, Epot= -4.70424e+05 Fmax= 6.09700e+04, atom= 2008
Step=   14, Dmax= 4.5e-02 nm, Epot= -4.73478e+05 Fmax= 1.22701e+04, atom= 2008
Step=   15, Dmax= 5.3e-02 nm, Epot= -4.73643e+05 Fmax= 6.67133e+04, atom= 2008
Step=   16, Dmax= 6.4e-02 nm, Epot= -4.76814e+05 Fmax= 2.85894e+04, atom= 2008
Step=   17, Dmax= 7.7e-02 nm, Epot= -4.73453e+05 Fmax= 7.78729e+04, atom= 2008
Step=   18, Dmax= 3.9e-02 nm, Epot= -4.77680e+05 Fmax= 2.73477e+04, atom= 2008
Step=   19, Dmax= 4.6e-02 nm, Epot= -4.77872e+05 Fmax= 4.05504e+04, atom= 2008
Step=   20, Dmax= 5.5e-02 nm, Epot= -4.78568e+05 Fmax= 3.96289e+04, atom= 2008
Step=   21, Dmax= 6.7e-02 nm, Epot= -4.77643e+05 Fmax= 5.62737e+04, atom= 2008
Step=   22, Dmax= 3.3e-02 nm, Epot= -4.80466e+05 Fmax= 9.03680e+03, atom= 2008
Step=   23, Dmax= 4.0e-02 nm, Epot= -4.79914e+05 Fmax= 4.94465e+04, atom= 2008
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.81242e+05 Fmax= 1.96803e+04, atom= 2008
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.82004e+05 Fmax= 1.60377e+04, atom= 2008
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.82214e+05 Fmax= 2.63014e+04, atom= 2008
Step=   27, Dmax= 3.5e-02 nm, Epot= -4.82858e+05 Fmax= 2.50611e+04, atom= 2008
Step=   28, Dmax= 4.1e-02 nm, Epot= -4.82413e+05 Fmax= 3.57934e+04, atom= 2008
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.84136e+05 Fmax= 5.56975e+03, atom= 2008
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.84150e+05 Fmax= 3.24567e+04, atom= 2008
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.86166e+05 Fmax= 1.22370e+04, atom= 2008
Step=   32, Dmax= 3.6e-02 nm, Epot= -4.83956e+05 Fmax= 4.17918e+04, atom= 2008
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.86581e+05 Fmax= 1.47157e+04, atom= 2008
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.86906e+05 Fmax= 1.72412e+04, atom= 2008
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.87039e+05 Fmax= 2.14695e+04, atom= 2008
Step=   36, Dmax= 3.1e-02 nm, Epot= -4.87109e+05 Fmax= 2.44803e+04, atom= 2008
Step=   37, Dmax= 3.7e-02 nm, Epot= -4.86605e+05 Fmax= 3.08730e+04, atom= 2008
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.88844e+05 Fmax= 3.66041e+03, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.88603e+05 Fmax= 2.98706e+04, atom= 1334
Step=   40, Dmax= 1.1e-02 nm, Epot= -4.89452e+05 Fmax= 1.29947e+04, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.90071e+05 Fmax= 7.47644e+03, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.90162e+05 Fmax= 1.68207e+04, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.90820e+05 Fmax= 1.26061e+04, atom= 1334
Step=   44, Dmax= 2.3e-02 nm, Epot= -4.90507e+05 Fmax= 2.24088e+04, atom= 1334
Step=   45, Dmax= 1.2e-02 nm, Epot= -4.91413e+05 Fmax= 4.91778e+03, atom= 1334
Step=   46, Dmax= 1.4e-02 nm, Epot= -4.91629e+05 Fmax= 1.64501e+04, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.92360e+05 Fmax= 8.83590e+03, atom= 1334
