
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128G
Command line:
  gmx mdrun -v -deffnm O52681_V128G_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128G_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38350e+05 Fmax= 3.27008e+03, atom= 51
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.46996e+05 Fmax= 4.07011e+03, atom= 1223
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.50559e+05 Fmax= 1.23289e+04, atom= 1334
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.55219e+05 Fmax= 9.36343e+03, atom= 1334
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.56865e+05 Fmax= 1.67210e+04, atom= 1334
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.59633e+05 Fmax= 1.50442e+04, atom= 1334
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.60617e+05 Fmax= 2.27427e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.62609e+05 Fmax= 2.28155e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.62789e+05 Fmax= 3.13931e+04, atom= 1334
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.63949e+05 Fmax= 3.36351e+04, atom= 1334
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.62808e+05 Fmax= 4.35215e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.68639e+05 Fmax= 5.34232e+03, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.68456e+05 Fmax= 4.24707e+04, atom= 1334
Step=   13, Dmax= 1.5e-02 nm, Epot= -4.70396e+05 Fmax= 1.82354e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.71968e+05 Fmax= 1.00266e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.72272e+05 Fmax= 2.41262e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.74018e+05 Fmax= 1.65285e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.73043e+05 Fmax= 3.23869e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.75345e+05 Fmax= 7.96249e+03, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.75807e+05 Fmax= 2.12659e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.77258e+05 Fmax= 1.40287e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.76690e+05 Fmax= 2.80678e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.78287e+05 Fmax= 7.04444e+03, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.78811e+05 Fmax= 1.85025e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.79977e+05 Fmax= 1.19011e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.79690e+05 Fmax= 2.47532e+04, atom= 1334
Step=   26, Dmax= 1.2e-02 nm, Epot= -4.80802e+05 Fmax= 6.44158e+03, atom= 1334
Step=   27, Dmax= 1.4e-02 nm, Epot= -4.81380e+05 Fmax= 1.53906e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.82254e+05 Fmax= 1.10199e+04, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.82293e+05 Fmax= 2.04661e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.83160e+05 Fmax= 1.74600e+04, atom= 1334
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.82583e+05 Fmax= 2.77742e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.84297e+05 Fmax= 5.20500e+03, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.84448e+05 Fmax= 2.23235e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.85885e+05 Fmax= 1.04016e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.84850e+05 Fmax= 2.90156e+04, atom= 1334
