
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128H
Command line:
  gmx mdrun -v -deffnm O52681_V128H_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128H_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.34878e+05 Fmax= 2.13575e+05, atom= 2008
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.37228e+05 Fmax= 6.06518e+04, atom= 2008
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.38802e+05 Fmax= 1.53659e+04, atom= 2008
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.42162e+05 Fmax= 3.76263e+03, atom= 2007
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.53566e+05 Fmax= 1.87548e+04, atom= 2009
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.55860e+05 Fmax= 9.57727e+03, atom= 2009
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.59658e+05 Fmax= 2.43798e+04, atom= 2009
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.61616e+05 Fmax= 1.52161e+04, atom= 2009
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.63752e+05 Fmax= 3.41923e+04, atom= 2009
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.65647e+05 Fmax= 2.25731e+04, atom= 2009
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.65868e+05 Fmax= 4.72831e+04, atom= 2009
Step=   11, Dmax= 6.2e-02 nm, Epot= -4.67939e+05 Fmax= 3.09086e+04, atom= 2009
Step=   12, Dmax= 7.4e-02 nm, Epot= -4.61542e+05 Fmax= 6.19938e+04, atom= 2009
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.70104e+05 Fmax= 1.45399e+04, atom= 1334
Step=   14, Dmax= 4.5e-02 nm, Epot= -4.63249e+05 Fmax= 5.30336e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.70980e+05 Fmax= 1.95549e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.72029e+05 Fmax= 2.09986e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.72309e+05 Fmax= 2.78353e+04, atom= 1334
Step=   18, Dmax= 3.9e-02 nm, Epot= -4.72945e+05 Fmax= 3.02349e+04, atom= 1334
Step=   19, Dmax= 4.6e-02 nm, Epot= -4.72193e+05 Fmax= 3.93599e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.76009e+05 Fmax= 4.83100e+03, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.76055e+05 Fmax= 3.69816e+04, atom= 1334
Step=   22, Dmax= 3.3e-02 nm, Epot= -4.79726e+05 Fmax= 1.40034e+04, atom= 1334
Step=   23, Dmax= 4.0e-02 nm, Epot= -4.75995e+05 Fmax= 4.63383e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.80298e+05 Fmax= 1.62733e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.80669e+05 Fmax= 2.03019e+04, atom= 1334
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.81008e+05 Fmax= 2.32320e+04, atom= 1334
Step=   27, Dmax= 3.5e-02 nm, Epot= -4.80877e+05 Fmax= 2.91269e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.82778e+05 Fmax= 3.07704e+03, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.83757e+05 Fmax= 2.79569e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.85899e+05 Fmax= 1.01395e+04, atom= 1334
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.84086e+05 Fmax= 3.50518e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.86320e+05 Fmax= 1.25095e+04, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.86690e+05 Fmax= 1.48700e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.86962e+05 Fmax= 1.77276e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.87087e+05 Fmax= 2.15424e+04, atom= 1334
Step=   36, Dmax= 3.1e-02 nm, Epot= -4.87099e+05 Fmax= 2.52406e+04, atom= 1334
Step=   37, Dmax= 3.7e-02 nm, Epot= -4.86721e+05 Fmax= 3.09179e+04, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.88980e+05 Fmax= 3.00486e+03, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.88909e+05 Fmax= 3.04015e+04, atom= 1334
Step=   40, Dmax= 1.1e-02 nm, Epot= -4.89699e+05 Fmax= 1.35295e+04, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.90362e+05 Fmax= 6.89946e+03, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.90364e+05 Fmax= 1.74077e+04, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.91107e+05 Fmax= 1.19669e+04, atom= 1334
Step=   44, Dmax= 2.3e-02 nm, Epot= -4.90602e+05 Fmax= 2.30446e+04, atom= 1334
Step=   45, Dmax= 1.2e-02 nm, Epot= -4.91671e+05 Fmax= 5.55375e+03, atom= 1334
Step=   46, Dmax= 1.4e-02 nm, Epot= -4.91782e+05 Fmax= 1.57072e+04, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.92467e+05 Fmax= 9.56220e+03, atom= 1334
Step=   48, Dmax= 2.0e-02 nm, Epot= -4.92089e+05 Fmax= 2.09306e+04, atom= 1334
Step=   49, Dmax= 1.0e-02 nm, Epot= -4.92895e+05 Fmax= 5.69444e+03, atom= 1334
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.93100e+05 Fmax= 1.24358e+04, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.93556e+05 Fmax= 9.51878e+03, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.93494e+05 Fmax= 1.66394e+04, atom= 1334
Step=   53, Dmax= 8.6e-03 nm, Epot= -4.93977e+05 Fmax= 3.56968e+03, atom= 1334
Step=   54, Dmax= 1.0e-02 nm, Epot= -4.94295e+05 Fmax= 1.23557e+04, atom= 1334
Step=   55, Dmax= 1.2e-02 nm, Epot= -4.94809e+05 Fmax= 6.52108e+03, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.94738e+05 Fmax= 1.63018e+04, atom= 1334
Step=   57, Dmax= 7.4e-03 nm, Epot= -4.95116e+05 Fmax= 4.89463e+03, atom= 1334
Step=   58, Dmax= 8.9e-03 nm, Epot= -4.95382e+05 Fmax= 8.64169e+03, atom= 1334
Step=   59, Dmax= 1.1e-02 nm, Epot= -4.95688e+05 Fmax= 7.77596e+03, atom= 1334
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.95829e+05 Fmax= 1.17596e+04, atom= 1334
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.96098e+05 Fmax= 1.18372e+04, atom= 1334
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.96080e+05 Fmax= 1.62962e+04, atom= 1334
Step=   63, Dmax= 9.3e-03 nm, Epot= -4.96607e+05 Fmax= 2.24606e+03, atom= 1334
Step=   64, Dmax= 1.1e-02 nm, Epot= -4.97018e+05 Fmax= 1.49584e+04, atom= 1334
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.97690e+05 Fmax= 5.36186e+03, atom= 1334
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.97361e+05 Fmax= 1.91927e+04, atom= 1334
Step=   67, Dmax= 8.0e-03 nm, Epot= -4.97919e+05 Fmax= 6.92071e+03, atom= 1334
