
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128I
Command line:
  gmx mdrun -v -deffnm O52681_V128I_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128I_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38533e+05 Fmax= 3.78860e+03, atom= 1903
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.46272e+05 Fmax= 3.29686e+03, atom= 1334
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.50778e+05 Fmax= 1.32977e+04, atom= 1334
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.56018e+05 Fmax= 8.37540e+03, atom= 1334
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.57533e+05 Fmax= 1.77160e+04, atom= 1334
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.60532e+05 Fmax= 1.40424e+04, atom= 1334
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.61236e+05 Fmax= 2.37338e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.63487e+05 Fmax= 2.18169e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.63277e+05 Fmax= 3.23799e+04, atom= 1334
Step=    9, Dmax= 1.8e-02 nm, Epot= -4.66222e+05 Fmax= 5.39352e+03, atom= 1334
Step=   10, Dmax= 2.1e-02 nm, Epot= -4.68018e+05 Fmax= 2.78234e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.70822e+05 Fmax= 1.15208e+04, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.69713e+05 Fmax= 3.58830e+04, atom= 1334
Step=   13, Dmax= 1.5e-02 nm, Epot= -4.71917e+05 Fmax= 1.21957e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.72814e+05 Fmax= 1.60345e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.73677e+05 Fmax= 1.80551e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.74209e+05 Fmax= 2.25553e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.74666e+05 Fmax= 2.62980e+04, atom= 1334
Step=   18, Dmax= 3.9e-02 nm, Epot= -4.74650e+05 Fmax= 3.18586e+04, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.77046e+05 Fmax= 2.96535e+03, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.78788e+05 Fmax= 3.28752e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.81856e+05 Fmax= 9.76255e+03, atom= 1334
Step=   22, Dmax= 3.3e-02 nm, Epot= -4.79352e+05 Fmax= 4.10817e+04, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.82278e+05 Fmax= 1.57890e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.82939e+05 Fmax= 1.46533e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.82989e+05 Fmax= 2.19861e+04, atom= 1334
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.83562e+05 Fmax= 2.16957e+04, atom= 1334
Step=   27, Dmax= 3.5e-02 nm, Epot= -4.83007e+05 Fmax= 3.07465e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.85030e+05 Fmax= 4.61990e+03, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.85065e+05 Fmax= 2.67756e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.86881e+05 Fmax= 1.12443e+04, atom= 1334
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.85268e+05 Fmax= 3.40224e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.87342e+05 Fmax= 1.14107e+04, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.87585e+05 Fmax= 1.59748e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.87975e+05 Fmax= 1.66615e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.87910e+05 Fmax= 2.26461e+04, atom= 1334
Step=   36, Dmax= 1.3e-02 nm, Epot= -4.88889e+05 Fmax= 3.03955e+03, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.89532e+05 Fmax= 2.02676e+04, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.90631e+05 Fmax= 8.16176e+03, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.90009e+05 Fmax= 2.56564e+04, atom= 1334
Step=   40, Dmax= 1.1e-02 nm, Epot= -4.90996e+05 Fmax= 8.75895e+03, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.91286e+05 Fmax= 1.17378e+04, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.91604e+05 Fmax= 1.26517e+04, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.91733e+05 Fmax= 1.67849e+04, atom= 1334
Step=   44, Dmax= 2.3e-02 nm, Epot= -4.91960e+05 Fmax= 1.82957e+04, atom= 1334
Step=   45, Dmax= 2.8e-02 nm, Epot= -4.91795e+05 Fmax= 2.39188e+04, atom= 1334
Step=   46, Dmax= 1.4e-02 nm, Epot= -4.92917e+05 Fmax= 2.87096e+03, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.93238e+05 Fmax= 2.21706e+04, atom= 1334
Step=   48, Dmax= 2.0e-02 nm, Epot= -4.94414e+05 Fmax= 8.39598e+03, atom= 1334
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.93445e+05 Fmax= 2.79488e+04, atom= 1334
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.94678e+05 Fmax= 9.79495e+03, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.94888e+05 Fmax= 1.22208e+04, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.95086e+05 Fmax= 1.39891e+04, atom= 1334
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.95149e+05 Fmax= 1.76239e+04, atom= 1334
Step=   54, Dmax= 2.5e-02 nm, Epot= -4.95227e+05 Fmax= 2.00578e+04, atom= 1334
Step=   55, Dmax= 3.0e-02 nm, Epot= -4.94997e+05 Fmax= 2.52563e+04, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.96272e+05 Fmax= 2.67890e+03, atom= 1334
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.96307e+05 Fmax= 2.41967e+04, atom= 1334
Step=   58, Dmax= 2.1e-02 nm, Epot= -4.97617e+05 Fmax= 8.67977e+03, atom= 1334
Step=   59, Dmax= 2.6e-02 nm, Epot= -4.96279e+05 Fmax= 3.03751e+04, atom= 1334
