
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128K
Command line:
  gmx mdrun -v -deffnm O52681_V128K_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128K_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.35752e+05 Fmax= 1.96655e+05, atom= 2010
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.37682e+05 Fmax= 3.55565e+04, atom= 2010
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.39397e+05 Fmax= 8.12880e+03, atom= 2117
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.44853e+05 Fmax= 2.93276e+03, atom= 2009
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.56751e+05 Fmax= 1.58928e+04, atom= 2014
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.59506e+05 Fmax= 6.04576e+03, atom= 2014
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.55669e+05 Fmax= 2.89533e+04, atom= 1334
Step=    7, Dmax= 1.2e-02 nm, Epot= -4.61265e+05 Fmax= 1.18790e+04, atom= 1334
Step=    8, Dmax= 1.5e-02 nm, Epot= -4.63433e+05 Fmax= 1.10426e+04, atom= 1334
Step=    9, Dmax= 1.8e-02 nm, Epot= -4.64650e+05 Fmax= 1.62184e+04, atom= 1334
Step=   10, Dmax= 2.1e-02 nm, Epot= -4.66249e+05 Fmax= 1.67398e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.67027e+05 Fmax= 2.24979e+04, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.68127e+05 Fmax= 2.47237e+04, atom= 1334
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.68287e+05 Fmax= 3.14899e+04, atom= 1334
Step=   14, Dmax= 4.5e-02 nm, Epot= -4.68615e+05 Fmax= 3.58711e+04, atom= 1334
Step=   15, Dmax= 5.3e-02 nm, Epot= -4.67644e+05 Fmax= 4.40256e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.73159e+05 Fmax= 4.57288e+03, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.72466e+05 Fmax= 4.49103e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.74648e+05 Fmax= 1.97022e+04, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.76150e+05 Fmax= 9.65564e+03, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.76027e+05 Fmax= 2.57661e+04, atom= 1334
Step=   21, Dmax= 1.2e-02 nm, Epot= -4.76995e+05 Fmax= 8.05067e+03, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.77739e+05 Fmax= 1.30431e+04, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.78527e+05 Fmax= 1.24442e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.78947e+05 Fmax= 1.79543e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.79593e+05 Fmax= 1.86524e+04, atom= 1334
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.79601e+05 Fmax= 2.50213e+04, atom= 1334
Step=   27, Dmax= 3.5e-02 nm, Epot= -4.79923e+05 Fmax= 2.74087e+04, atom= 1334
Step=   28, Dmax= 4.1e-02 nm, Epot= -4.79242e+05 Fmax= 3.50413e+04, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.82315e+05 Fmax= 4.01207e+03, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.81919e+05 Fmax= 3.43311e+04, atom= 1334
Step=   31, Dmax= 1.2e-02 nm, Epot= -4.83154e+05 Fmax= 1.49748e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.84032e+05 Fmax= 7.75625e+03, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.84102e+05 Fmax= 1.96851e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.85122e+05 Fmax= 1.30218e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.84474e+05 Fmax= 2.63374e+04, atom= 1334
Step=   36, Dmax= 1.3e-02 nm, Epot= -4.85845e+05 Fmax= 6.67758e+03, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.86073e+05 Fmax= 1.68254e+04, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.86873e+05 Fmax= 1.15455e+04, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.86580e+05 Fmax= 2.23203e+04, atom= 1334
Step=   40, Dmax= 1.1e-02 nm, Epot= -4.87483e+05 Fmax= 5.40090e+03, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.87811e+05 Fmax= 1.51240e+04, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.88523e+05 Fmax= 9.31433e+03, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.88369e+05 Fmax= 2.01490e+04, atom= 1334
Step=   44, Dmax= 9.6e-03 nm, Epot= -4.89003e+05 Fmax= 5.42587e+03, atom= 1334
Step=   45, Dmax= 1.2e-02 nm, Epot= -4.89366e+05 Fmax= 1.21188e+04, atom= 1334
Step=   46, Dmax= 1.4e-02 nm, Epot= -4.89877e+05 Fmax= 9.09816e+03, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.89962e+05 Fmax= 1.62067e+04, atom= 1334
Step=   48, Dmax= 2.0e-02 nm, Epot= -4.90464e+05 Fmax= 1.42852e+04, atom= 1334
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.90219e+05 Fmax= 2.21129e+04, atom= 1334
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.91162e+05 Fmax= 3.93906e+03, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.91390e+05 Fmax= 1.81803e+04, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.92275e+05 Fmax= 8.11449e+03, atom= 1334
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.91750e+05 Fmax= 2.35728e+04, atom= 1334
Step=   54, Dmax= 1.0e-02 nm, Epot= -4.92616e+05 Fmax= 7.73658e+03, atom= 1334
Step=   55, Dmax= 1.2e-02 nm, Epot= -4.92858e+05 Fmax= 1.11507e+04, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.93160e+05 Fmax= 1.16493e+04, atom= 1334
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.93270e+05 Fmax= 1.55558e+04, atom= 1334
Step=   58, Dmax= 2.1e-02 nm, Epot= -4.93467e+05 Fmax= 1.71969e+04, atom= 1334
Step=   59, Dmax= 2.6e-02 nm, Epot= -4.93366e+05 Fmax= 2.19022e+04, atom= 1334
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.94316e+05 Fmax= 2.39888e+03, atom= 1334
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.94689e+05 Fmax= 2.14904e+04, atom= 1334
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.95816e+05 Fmax= 6.84705e+03, atom= 1334
Step=   63, Dmax= 2.2e-02 nm, Epot= -4.94908e+05 Fmax= 2.72235e+04, atom= 1334
Step=   64, Dmax= 1.1e-02 nm, Epot= -4.96017e+05 Fmax= 1.02107e+04, atom= 1334
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.96278e+05 Fmax= 1.01196e+04, atom= 1334
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.96355e+05 Fmax= 1.43884e+04, atom= 1334
Step=   67, Dmax= 1.9e-02 nm, Epot= -4.96575e+05 Fmax= 1.48624e+04, atom= 1334
Step=   68, Dmax= 2.3e-02 nm, Epot= -4.96440e+05 Fmax= 2.03229e+04, atom= 1334
Step=   69, Dmax= 1.2e-02 nm, Epot= -4.97196e+05 Fmax= 2.75976e+03, atom= 1334
Step=   70, Dmax= 1.4e-02 nm, Epot= -4.97404e+05 Fmax= 1.81851e+04, atom= 1334
Step=   71, Dmax= 1.7e-02 nm, Epot= -4.98175e+05 Fmax= 7.23108e+03, atom= 1334
Step=   72, Dmax= 2.0e-02 nm, Epot= -4.97605e+05 Fmax= 2.30661e+04, atom= 1334
Step=   73, Dmax= 1.0e-02 nm, Epot= -4.98388e+05 Fmax= 7.92524e+03, atom= 1334
Step=   74, Dmax= 1.2e-02 nm, Epot= -4.98548e+05 Fmax= 1.03923e+04, atom= 1334
Step=   75, Dmax= 1.4e-02 nm, Epot= -4.98726e+05 Fmax= 1.14475e+04, atom= 1334
Step=   76, Dmax= 1.7e-02 nm, Epot= -4.98782e+05 Fmax= 1.48763e+04, atom= 1334
Step=   77, Dmax= 2.1e-02 nm, Epot= -4.98888e+05 Fmax= 1.65430e+04, atom= 1334
Step=   78, Dmax= 2.5e-02 nm, Epot= -4.98745e+05 Fmax= 2.12408e+04, atom= 1334
Step=   79, Dmax= 1.2e-02 nm, Epot= -4.99584e+05 Fmax= 2.39144e+03, atom= 1334
Step=   80, Dmax= 1.5e-02 nm, Epot= -4.99704e+05 Fmax= 2.00722e+04, atom= 1334
Step=   81, Dmax= 1.8e-02 nm, Epot= -5.00582e+05 Fmax= 7.26414e+03, atom= 1334
Step=   82, Dmax= 2.1e-02 nm, Epot= -4.99770e+05 Fmax= 2.52927e+04, atom= 1334
Step=   83, Dmax= 1.1e-02 nm, Epot= -5.00735e+05 Fmax= 9.02974e+03, atom= 1334
Step=   84, Dmax= 1.3e-02 nm, Epot= -5.00874e+05 Fmax= 1.06521e+04, atom= 1334
Step=   85, Dmax= 1.5e-02 nm, Epot= -5.00970e+05 Fmax= 1.28184e+04, atom= 1334
Step=   86, Dmax= 1.8e-02 nm, Epot= -5.01017e+05 Fmax= 1.54594e+04, atom= 1334
Step=   87, Dmax= 2.2e-02 nm, Epot= -5.01007e+05 Fmax= 1.82942e+04, atom= 1334
Step=   88, Dmax= 1.1e-02 nm, Epot= -5.01611e+05 Fmax= 1.45374e+03, atom= 1334
Step=   89, Dmax= 1.3e-02 nm, Epot= -5.02076e+05 Fmax= 1.92728e+04, atom= 1334
Step=   90, Dmax= 1.6e-02 nm, Epot= -5.02891e+05 Fmax= 5.19982e+03, atom= 1334
Step=   91, Dmax= 1.9e-02 nm, Epot= -5.02209e+05 Fmax= 2.41930e+04, atom= 1334
Step=   92, Dmax= 9.6e-03 nm, Epot= -5.02992e+05 Fmax= 9.52966e+03, atom= 1334
Step=   93, Dmax= 1.1e-02 nm, Epot= -5.03192e+05 Fmax= 8.01353e+03, atom= 1334
Step=   94, Dmax= 1.4e-02 nm, Epot= -5.03182e+05 Fmax= 1.31428e+04, atom= 1334
Step=   95, Dmax= 6.9e-03 nm, Epot= -5.03414e+05 Fmax= 2.57023e+03, atom= 1334
Step=   96, Dmax= 8.3e-03 nm, Epot= -5.03611e+05 Fmax= 9.97613e+03, atom= 1334
Step=   97, Dmax= 9.9e-03 nm, Epot= -5.03874e+05 Fmax= 5.25663e+03, atom= 1334
Step=   98, Dmax= 1.2e-02 nm, Epot= -5.03855e+05 Fmax= 1.28877e+04, atom= 1334
Step=   99, Dmax= 6.0e-03 nm, Epot= -5.04031e+05 Fmax= 3.81750e+03, atom= 1334
Step=  100, Dmax= 7.2e-03 nm, Epot= -5.04172e+05 Fmax= 7.19277e+03, atom= 1334
Step=  101, Dmax= 8.6e-03 nm, Epot= -5.04341e+05 Fmax= 5.88966e+03, atom= 1334
Step=  102, Dmax= 1.0e-02 nm, Epot= -5.04409e+05 Fmax= 9.92654e+03, atom= 1334
Step=  103, Dmax= 1.2e-02 nm, Epot= -5.04583e+05 Fmax= 8.91821e+03, atom= 1334
Step=  104, Dmax= 1.5e-02 nm, Epot= -5.04543e+05 Fmax= 1.38063e+04, atom= 1334
Step=  105, Dmax= 7.4e-03 nm, Epot= -5.04823e+05 Fmax= 2.45091e+03, atom= 1334
Step=  106, Dmax= 8.9e-03 nm, Epot= -5.04983e+05 Fmax= 1.10206e+04, atom= 1334
Step=  107, Dmax= 1.1e-02 nm, Epot= -5.05273e+05 Fmax= 5.34864e+03, atom= 1334
