
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128L
Command line:
  gmx mdrun -v -deffnm O52681_V128L_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128L_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.31966e+05 Fmax= 5.57448e+05, atom= 1929
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.36632e+05 Fmax= 1.18463e+05, atom= 1929
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.38142e+05 Fmax= 2.37412e+04, atom= 1929
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.40450e+05 Fmax= 7.87731e+03, atom= 1928
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.46844e+05 Fmax= 5.57896e+03, atom= 1929
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.54901e+05 Fmax= 1.10185e+04, atom= 2007
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.58589e+05 Fmax= 1.06343e+04, atom= 2007
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.61162e+05 Fmax= 1.49216e+04, atom= 2007
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.58808e+05 Fmax= 2.05837e+04, atom= 1685
Step=    9, Dmax= 1.8e-02 nm, Epot= -4.64005e+05 Fmax= 5.62718e+03, atom= 1685
Step=   10, Dmax= 2.1e-02 nm, Epot= -4.60454e+05 Fmax= 2.28202e+04, atom= 1685
Step=   11, Dmax= 1.1e-02 nm, Epot= -4.65471e+05 Fmax= 8.73181e+03, atom= 1685
Step=   12, Dmax= 1.3e-02 nm, Epot= -4.66939e+05 Fmax= 1.03569e+04, atom= 1334
Step=   13, Dmax= 1.5e-02 nm, Epot= -4.68162e+05 Fmax= 1.31831e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.69461e+05 Fmax= 1.53466e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.70444e+05 Fmax= 1.85713e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.71271e+05 Fmax= 2.23262e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.71885e+05 Fmax= 2.63464e+04, atom= 1334
Step=   18, Dmax= 3.9e-02 nm, Epot= -4.72042e+05 Fmax= 3.21096e+04, atom= 1334
Step=   19, Dmax= 4.6e-02 nm, Epot= -4.71989e+05 Fmax= 3.73342e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.75927e+05 Fmax= 2.98463e+03, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.77606e+05 Fmax= 3.97464e+04, atom= 1334
Step=   22, Dmax= 3.3e-02 nm, Epot= -4.81763e+05 Fmax= 1.17803e+04, atom= 1334
Step=   23, Dmax= 4.0e-02 nm, Epot= -4.77953e+05 Fmax= 4.87918e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.82061e+05 Fmax= 1.88578e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.82735e+05 Fmax= 1.77181e+04, atom= 1334
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.82594e+05 Fmax= 2.61611e+04, atom= 1334
Step=   27, Dmax= 1.4e-02 nm, Epot= -4.83780e+05 Fmax= 4.27824e+03, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.84441e+05 Fmax= 2.19832e+04, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.85683e+05 Fmax= 9.70658e+03, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.85125e+05 Fmax= 2.80926e+04, atom= 1334
Step=   31, Dmax= 1.2e-02 nm, Epot= -4.86192e+05 Fmax= 9.20328e+03, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.86576e+05 Fmax= 1.36428e+04, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.87047e+05 Fmax= 1.36005e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.87206e+05 Fmax= 1.92209e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.87592e+05 Fmax= 1.99314e+04, atom= 1334
Step=   36, Dmax= 3.1e-02 nm, Epot= -4.87372e+05 Fmax= 2.71152e+04, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.88677e+05 Fmax= 3.66668e+03, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.89051e+05 Fmax= 2.44228e+04, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.90388e+05 Fmax= 9.67114e+03, atom= 1334
Step=   40, Dmax= 2.7e-02 nm, Epot= -4.89380e+05 Fmax= 3.09162e+04, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.90745e+05 Fmax= 1.06422e+04, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.91008e+05 Fmax= 1.39094e+04, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.91298e+05 Fmax= 1.53508e+04, atom= 1334
Step=   44, Dmax= 2.3e-02 nm, Epot= -4.91375e+05 Fmax= 1.99004e+04, atom= 1334
Step=   45, Dmax= 2.8e-02 nm, Epot= -4.91534e+05 Fmax= 2.21348e+04, atom= 1334
Step=   46, Dmax= 3.3e-02 nm, Epot= -4.91257e+05 Fmax= 2.83560e+04, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.92724e+05 Fmax= 3.21476e+03, atom= 1334
Step=   48, Dmax= 2.0e-02 nm, Epot= -4.92794e+05 Fmax= 2.69044e+04, atom= 1334
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.94295e+05 Fmax= 9.78546e+03, atom= 1334
Step=   50, Dmax= 2.9e-02 nm, Epot= -4.92825e+05 Fmax= 3.38183e+04, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.94525e+05 Fmax= 1.20559e+04, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.94726e+05 Fmax= 1.43230e+04, atom= 1334
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.94858e+05 Fmax= 1.71163e+04, atom= 1334
Step=   54, Dmax= 2.5e-02 nm, Epot= -4.94892e+05 Fmax= 2.07396e+04, atom= 1334
Step=   55, Dmax= 3.0e-02 nm, Epot= -4.94840e+05 Fmax= 2.43958e+04, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.95899e+05 Fmax= 1.91882e+03, atom= 1334
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.96453e+05 Fmax= 2.58460e+04, atom= 1334
Step=   58, Dmax= 2.1e-02 nm, Epot= -4.97831e+05 Fmax= 7.06404e+03, atom= 1334
Step=   59, Dmax= 2.6e-02 nm, Epot= -4.96577e+05 Fmax= 3.22589e+04, atom= 1334
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.97950e+05 Fmax= 1.26831e+04, atom= 1334
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.98245e+05 Fmax= 1.08505e+04, atom= 1334
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.98187e+05 Fmax= 1.74958e+04, atom= 1334
Step=   63, Dmax= 9.3e-03 nm, Epot= -4.98598e+05 Fmax= 3.33573e+03, atom= 1334
Step=   64, Dmax= 1.1e-02 nm, Epot= -4.98844e+05 Fmax= 1.35101e+04, atom= 1334
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.99263e+05 Fmax= 6.91187e+03, atom= 1334
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.99162e+05 Fmax= 1.74233e+04, atom= 1334
Step=   67, Dmax= 8.0e-03 nm, Epot= -4.99490e+05 Fmax= 5.25931e+03, atom= 1334
Step=   68, Dmax= 9.6e-03 nm, Epot= -4.99670e+05 Fmax= 9.49437e+03, atom= 1334
Step=   69, Dmax= 1.2e-02 nm, Epot= -4.99908e+05 Fmax= 8.05100e+03, atom= 1334
Step=   70, Dmax= 1.4e-02 nm, Epot= -4.99979e+05 Fmax= 1.31442e+04, atom= 1334
Step=   71, Dmax= 1.7e-02 nm, Epot= -5.00218e+05 Fmax= 1.21159e+04, atom= 1334
Step=   72, Dmax= 2.0e-02 nm, Epot= -5.00120e+05 Fmax= 1.83207e+04, atom= 1334
Step=   73, Dmax= 1.0e-02 nm, Epot= -5.00598e+05 Fmax= 3.11887e+03, atom= 1334
Step=   74, Dmax= 1.2e-02 nm, Epot= -5.00775e+05 Fmax= 1.49549e+04, atom= 1334
Step=   75, Dmax= 1.4e-02 nm, Epot= -5.01237e+05 Fmax= 6.99309e+03, atom= 1334
Step=   76, Dmax= 1.7e-02 nm, Epot= -5.01003e+05 Fmax= 1.91526e+04, atom= 1334
Step=   77, Dmax= 8.6e-03 nm, Epot= -5.01434e+05 Fmax= 6.08386e+03, atom= 1334
Step=   78, Dmax= 1.0e-02 nm, Epot= -5.01569e+05 Fmax= 9.76294e+03, atom= 1334
Step=   79, Dmax= 1.2e-02 nm, Epot= -5.01766e+05 Fmax= 9.09004e+03, atom= 1334
Step=   80, Dmax= 1.5e-02 nm, Epot= -5.01803e+05 Fmax= 1.36770e+04, atom= 1334
Step=   81, Dmax= 1.8e-02 nm, Epot= -5.01986e+05 Fmax= 1.34630e+04, atom= 1334
Step=   82, Dmax= 2.1e-02 nm, Epot= -5.01854e+05 Fmax= 1.92257e+04, atom= 1334
Step=   83, Dmax= 1.1e-02 nm, Epot= -5.02411e+05 Fmax= 2.90320e+03, atom= 1334
Step=   84, Dmax= 1.3e-02 nm, Epot= -5.02508e+05 Fmax= 1.65063e+04, atom= 1334
Step=   85, Dmax= 1.5e-02 nm, Epot= -5.03036e+05 Fmax= 7.08308e+03, atom= 1334
Step=   86, Dmax= 1.8e-02 nm, Epot= -5.02644e+05 Fmax= 2.10164e+04, atom= 1334
Step=   87, Dmax= 9.2e-03 nm, Epot= -5.03202e+05 Fmax= 6.97198e+03, atom= 1334
Step=   88, Dmax= 1.1e-02 nm, Epot= -5.03307e+05 Fmax= 1.00475e+04, atom= 1334
Step=   89, Dmax= 1.3e-02 nm, Epot= -5.03461e+05 Fmax= 1.02138e+04, atom= 1334
Step=   90, Dmax= 1.6e-02 nm, Epot= -5.03473e+05 Fmax= 1.42398e+04, atom= 1334
Step=   91, Dmax= 1.9e-02 nm, Epot= -5.03592e+05 Fmax= 1.49207e+04, atom= 1334
Step=   92, Dmax= 2.3e-02 nm, Epot= -5.03434e+05 Fmax= 2.01833e+04, atom= 1334
Step=   93, Dmax= 1.1e-02 nm, Epot= -5.04084e+05 Fmax= 2.66127e+03, atom= 1334
Step=   94, Dmax= 1.4e-02 nm, Epot= -5.04088e+05 Fmax= 1.81831e+04, atom= 1334
Step=   95, Dmax= 1.7e-02 nm, Epot= -5.04711e+05 Fmax= 7.17537e+03, atom= 1334
Step=   96, Dmax= 2.0e-02 nm, Epot= -5.04125e+05 Fmax= 2.30257e+04, atom= 1334
Step=   97, Dmax= 9.9e-03 nm, Epot= -5.04843e+05 Fmax= 7.93378e+03, atom= 1334
Step=   98, Dmax= 1.2e-02 nm, Epot= -5.04929e+05 Fmax= 1.03472e+04, atom= 1334
Step=   99, Dmax= 1.4e-02 nm, Epot= -5.05034e+05 Fmax= 1.14283e+04, atom= 1334
Step=  100, Dmax= 1.7e-02 nm, Epot= -5.05030e+05 Fmax= 1.48373e+04, atom= 1334
Step=  101, Dmax= 8.6e-03 nm, Epot= -5.05355e+05 Fmax= 1.71898e+03, atom= 1334
Step=  102, Dmax= 1.0e-02 nm, Epot= -5.05644e+05 Fmax= 1.37422e+04, atom= 1334
Step=  103, Dmax= 1.2e-02 nm, Epot= -5.06043e+05 Fmax= 5.20462e+03, atom= 1334
Step=  104, Dmax= 1.5e-02 nm, Epot= -5.05816e+05 Fmax= 1.73267e+04, atom= 1334
Step=  105, Dmax= 7.4e-03 nm, Epot= -5.06170e+05 Fmax= 6.06616e+03, atom= 1334
Step=  106, Dmax= 8.9e-03 nm, Epot= -5.06279e+05 Fmax= 7.60387e+03, atom= 1334
Step=  107, Dmax= 1.1e-02 nm, Epot= -5.06385e+05 Fmax= 8.64928e+03, atom= 1334
Step=  108, Dmax= 1.3e-02 nm, Epot= -5.06447e+05 Fmax= 1.09943e+04, atom= 1334
Step=  109, Dmax= 1.5e-02 nm, Epot= -5.06517e+05 Fmax= 1.24149e+04, atom= 1334
Step=  110, Dmax= 1.8e-02 nm, Epot= -5.06479e+05 Fmax= 1.58017e+04, atom= 1334
Step=  111, Dmax= 9.2e-03 nm, Epot= -5.06879e+05 Fmax= 1.71048e+03, atom= 1334
Step=  112, Dmax= 1.1e-02 nm, Epot= -5.07072e+05 Fmax= 1.49187e+04, atom= 1334
Step=  113, Dmax= 1.3e-02 nm, Epot= -5.07529e+05 Fmax= 5.44554e+03, atom= 1334
Step=  114, Dmax= 1.6e-02 nm, Epot= -5.07164e+05 Fmax= 1.87765e+04, atom= 1334
Step=  115, Dmax= 8.0e-03 nm, Epot= -5.07633e+05 Fmax= 6.67268e+03, atom= 1334
Step=  116, Dmax= 9.6e-03 nm, Epot= -5.07726e+05 Fmax= 8.01170e+03, atom= 1334
Step=  117, Dmax= 1.1e-02 nm, Epot= -5.07802e+05 Fmax= 9.45954e+03, atom= 1334
Step=  118, Dmax= 1.4e-02 nm, Epot= -5.07843e+05 Fmax= 1.16422e+04, atom= 1334
