
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128M
Command line:
  gmx mdrun -v -deffnm O52681_V128M_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128M_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.23458e+05 Fmax= 6.58195e+05, atom= 2010
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.34764e+05 Fmax= 1.34642e+05, atom= 2008
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.37738e+05 Fmax= 2.87850e+04, atom= 2010
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.40124e+05 Fmax= 5.83801e+03, atom= 1928
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.48553e+05 Fmax= 2.78177e+03, atom= 1928
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.58472e+05 Fmax= 1.52856e+04, atom= 1928
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.61794e+05 Fmax= 1.17124e+04, atom= 1685
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.51975e+05 Fmax= 2.91039e+04, atom= 1334
Step=    8, Dmax= 1.5e-02 nm, Epot= -4.64941e+05 Fmax= 9.68013e+03, atom= 1334
Step=    9, Dmax= 1.8e-02 nm, Epot= -4.65086e+05 Fmax= 1.78477e+04, atom= 1334
Step=   10, Dmax= 2.1e-02 nm, Epot= -4.67842e+05 Fmax= 1.48967e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.67725e+05 Fmax= 2.46163e+04, atom= 1334
Step=   12, Dmax= 1.3e-02 nm, Epot= -4.69977e+05 Fmax= 4.85637e+03, atom= 1334
Step=   13, Dmax= 1.5e-02 nm, Epot= -4.71604e+05 Fmax= 1.86183e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.73268e+05 Fmax= 9.85411e+03, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.73598e+05 Fmax= 2.40345e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.75221e+05 Fmax= 1.68198e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.74584e+05 Fmax= 3.18558e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.76442e+05 Fmax= 7.56778e+03, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.76998e+05 Fmax= 2.20140e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.78383e+05 Fmax= 1.31657e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.77951e+05 Fmax= 2.92280e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.79251e+05 Fmax= 8.05263e+03, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.79834e+05 Fmax= 1.72142e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.80726e+05 Fmax= 1.33297e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.80799e+05 Fmax= 2.30779e+04, atom= 1334
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.81641e+05 Fmax= 2.07451e+04, atom= 1334
