
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128N
Command line:
  gmx mdrun -v -deffnm O52681_V128N_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128N_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38937e+05 Fmax= 3.28098e+03, atom= 51
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.47542e+05 Fmax= 4.04340e+03, atom= 1223
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.51012e+05 Fmax= 1.25301e+04, atom= 1334
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.55807e+05 Fmax= 9.16995e+03, atom= 1334
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.57426e+05 Fmax= 1.69087e+04, atom= 1334
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.60262e+05 Fmax= 1.48587e+04, atom= 1334
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.61233e+05 Fmax= 2.29181e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.63288e+05 Fmax= 2.26404e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.63482e+05 Fmax= 3.15570e+04, atom= 1334
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.64736e+05 Fmax= 3.34691e+04, atom= 1334
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.63650e+05 Fmax= 4.36724e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.69205e+05 Fmax= 5.49549e+03, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.69187e+05 Fmax= 4.23195e+04, atom= 1334
Step=   13, Dmax= 1.5e-02 nm, Epot= -4.70949e+05 Fmax= 1.80966e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.72469e+05 Fmax= 1.01532e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.72852e+05 Fmax= 2.39975e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.74526e+05 Fmax= 1.66449e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.73696e+05 Fmax= 3.22668e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.75834e+05 Fmax= 7.84456e+03, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.76362e+05 Fmax= 2.13710e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.77792e+05 Fmax= 1.39239e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.77297e+05 Fmax= 2.81626e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.78792e+05 Fmax= 7.14389e+03, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.79353e+05 Fmax= 1.84044e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.80478e+05 Fmax= 1.19919e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.80268e+05 Fmax= 2.46619e+04, atom= 1334
Step=   26, Dmax= 1.2e-02 nm, Epot= -4.81295e+05 Fmax= 6.35115e+03, atom= 1334
Step=   27, Dmax= 1.4e-02 nm, Epot= -4.81906e+05 Fmax= 1.54713e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.82773e+05 Fmax= 1.09397e+04, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.82846e+05 Fmax= 2.05385e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.83709e+05 Fmax= 1.73872e+04, atom= 1334
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.83180e+05 Fmax= 2.78388e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.84803e+05 Fmax= 5.27291e+03, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.85004e+05 Fmax= 2.22570e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.86383e+05 Fmax= 1.04609e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.85443e+05 Fmax= 2.89555e+04, atom= 1334
Step=   36, Dmax= 1.3e-02 nm, Epot= -4.86918e+05 Fmax= 9.26042e+03, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.87233e+05 Fmax= 1.42391e+04, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.87714e+05 Fmax= 1.41300e+04, atom= 1334
