
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128P
Command line:
  gmx mdrun -v -deffnm O52681_V128P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.34418e+05 Fmax= 2.93862e+05, atom= 1977
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.37261e+05 Fmax= 5.91839e+04, atom= 1377
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.38829e+05 Fmax= 1.53408e+04, atom= 1377
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.42058e+05 Fmax= 3.82376e+03, atom= 1999
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.53520e+05 Fmax= 7.22867e+03, atom= 2001
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.58160e+05 Fmax= 9.47798e+03, atom= 1976
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.60196e+05 Fmax= 1.63344e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.59520e+05 Fmax= 2.94145e+04, atom= 1334
Step=    8, Dmax= 1.5e-02 nm, Epot= -4.63392e+05 Fmax= 6.58181e+03, atom= 1334
Step=    9, Dmax= 1.8e-02 nm, Epot= -4.65071e+05 Fmax= 2.05788e+04, atom= 1334
Step=   10, Dmax= 2.1e-02 nm, Epot= -4.67343e+05 Fmax= 1.23612e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.67600e+05 Fmax= 2.68120e+04, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.69676e+05 Fmax= 2.03956e+04, atom= 1334
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.68704e+05 Fmax= 3.57810e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.71510e+05 Fmax= 7.78089e+03, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.72067e+05 Fmax= 2.64834e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.74179e+05 Fmax= 1.42026e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.73070e+05 Fmax= 3.48217e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.75242e+05 Fmax= 1.03334e+04, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.75832e+05 Fmax= 1.88899e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.76852e+05 Fmax= 1.64196e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.76856e+05 Fmax= 2.56502e+04, atom= 1334
Step=   22, Dmax= 3.3e-02 nm, Epot= -4.77700e+05 Fmax= 2.49522e+04, atom= 1334
Step=   23, Dmax= 4.0e-02 nm, Epot= -4.76897e+05 Fmax= 3.52843e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.79698e+05 Fmax= 5.31267e+03, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.79576e+05 Fmax= 3.16388e+04, atom= 1334
Step=   26, Dmax= 1.2e-02 nm, Epot= -4.80545e+05 Fmax= 1.30645e+04, atom= 1334
Step=   27, Dmax= 1.4e-02 nm, Epot= -4.81346e+05 Fmax= 8.80043e+03, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.81710e+05 Fmax= 1.76667e+04, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.82565e+05 Fmax= 1.38295e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.82384e+05 Fmax= 2.41417e+04, atom= 1334
Step=   31, Dmax= 1.2e-02 nm, Epot= -4.83400e+05 Fmax= 5.17674e+03, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.83964e+05 Fmax= 1.74110e+04, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.84909e+05 Fmax= 9.97584e+03, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.84738e+05 Fmax= 2.26459e+04, atom= 1334
Step=   35, Dmax= 1.1e-02 nm, Epot= -4.85489e+05 Fmax= 6.34397e+03, atom= 1334
Step=   36, Dmax= 1.3e-02 nm, Epot= -4.85941e+05 Fmax= 1.34632e+04, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.86566e+05 Fmax= 1.00739e+04, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.86673e+05 Fmax= 1.83575e+04, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.87329e+05 Fmax= 1.55038e+04, atom= 1334
Step=   40, Dmax= 2.7e-02 nm, Epot= -4.86962e+05 Fmax= 2.52680e+04, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.88152e+05 Fmax= 4.91730e+03, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.88399e+05 Fmax= 1.93672e+04, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.89373e+05 Fmax= 1.00619e+04, atom= 1334
Step=   44, Dmax= 2.3e-02 nm, Epot= -4.88837e+05 Fmax= 2.50008e+04, atom= 1334
Step=   45, Dmax= 1.2e-02 nm, Epot= -4.89833e+05 Fmax= 7.47917e+03, atom= 1334
Step=   46, Dmax= 1.4e-02 nm, Epot= -4.90084e+05 Fmax= 1.37784e+04, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.90568e+05 Fmax= 1.15131e+04, atom= 1334
Step=   48, Dmax= 2.0e-02 nm, Epot= -4.90538e+05 Fmax= 1.90091e+04, atom= 1334
Step=   49, Dmax= 1.0e-02 nm, Epot= -4.91096e+05 Fmax= 3.76392e+03, atom= 1334
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.91544e+05 Fmax= 1.43311e+04, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.92153e+05 Fmax= 7.66969e+03, atom= 1334
