
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128Q
Command line:
  gmx mdrun -v -deffnm O52681_V128Q_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128Q_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38392e+05 Fmax= 9.68826e+03, atom= 1903
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.41919e+05 Fmax= 3.89323e+03, atom= 1929
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.50227e+05 Fmax= 2.72909e+03, atom= 2010
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.58310e+05 Fmax= 1.45938e+04, atom= 1334
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.61188e+05 Fmax= 1.17077e+04, atom= 1334
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.62246e+05 Fmax= 2.01838e+04, atom= 1334
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.64460e+05 Fmax= 1.76753e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.64733e+05 Fmax= 2.79650e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.66563e+05 Fmax= 2.62825e+04, atom= 1334
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.65630e+05 Fmax= 3.88327e+04, atom= 1334
Step=   10, Dmax= 2.1e-02 nm, Epot= -4.69534e+05 Fmax= 6.42210e+03, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.70202e+05 Fmax= 3.26593e+04, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.73347e+05 Fmax= 1.46566e+04, atom= 1334
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.71073e+05 Fmax= 4.15944e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.74370e+05 Fmax= 1.35112e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.74898e+05 Fmax= 2.05857e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.75819e+05 Fmax= 2.00008e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.75692e+05 Fmax= 2.88766e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.77349e+05 Fmax= 4.51296e+03, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.78414e+05 Fmax= 2.45786e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.80196e+05 Fmax= 1.08218e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.79334e+05 Fmax= 3.12796e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.80898e+05 Fmax= 1.02471e+04, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.81404e+05 Fmax= 1.52870e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.82050e+05 Fmax= 1.50851e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.82212e+05 Fmax= 2.15601e+04, atom= 1334
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.82742e+05 Fmax= 2.20774e+04, atom= 1334
Step=   27, Dmax= 3.5e-02 nm, Epot= -4.82329e+05 Fmax= 3.03814e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.84260e+05 Fmax= 4.25127e+03, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.84539e+05 Fmax= 2.70487e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.86395e+05 Fmax= 1.10110e+04, atom= 1334
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.84841e+05 Fmax= 3.42437e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.86861e+05 Fmax= 1.16429e+04, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.87151e+05 Fmax= 1.57671e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.87535e+05 Fmax= 1.68685e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.87534e+05 Fmax= 2.24630e+04, atom= 1334
Step=   36, Dmax= 1.3e-02 nm, Epot= -4.88461e+05 Fmax= 2.84484e+03, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.89286e+05 Fmax= 2.04118e+04, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.90386e+05 Fmax= 8.03585e+03, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.89821e+05 Fmax= 2.57778e+04, atom= 1334
Step=   40, Dmax= 1.1e-02 nm, Epot= -4.90760e+05 Fmax= 8.88448e+03, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.91071e+05 Fmax= 1.16244e+04, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.91391e+05 Fmax= 1.27657e+04, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.91551e+05 Fmax= 1.66843e+04, atom= 1334
Step=   44, Dmax= 2.3e-02 nm, Epot= -4.91777e+05 Fmax= 1.83997e+04, atom= 1334
Step=   45, Dmax= 2.8e-02 nm, Epot= -4.91657e+05 Fmax= 2.38305e+04, atom= 1334
Step=   46, Dmax= 1.4e-02 nm, Epot= -4.92721e+05 Fmax= 2.77461e+03, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.93158e+05 Fmax= 2.22439e+04, atom= 1334
Step=   48, Dmax= 2.0e-02 nm, Epot= -4.94311e+05 Fmax= 8.33664e+03, atom= 1334
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.93410e+05 Fmax= 2.80079e+04, atom= 1334
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.94580e+05 Fmax= 9.85607e+03, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.94803e+05 Fmax= 1.21691e+04, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.95006e+05 Fmax= 1.40433e+04, atom= 1334
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.95090e+05 Fmax= 1.75805e+04, atom= 1334
Step=   54, Dmax= 2.5e-02 nm, Epot= -4.95174e+05 Fmax= 2.01062e+04, atom= 1334
Step=   55, Dmax= 3.0e-02 nm, Epot= -4.94979e+05 Fmax= 2.52215e+04, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.96190e+05 Fmax= 2.63673e+03, atom= 1334
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.96317e+05 Fmax= 2.42279e+04, atom= 1334
Step=   58, Dmax= 2.1e-02 nm, Epot= -4.97583e+05 Fmax= 8.65967e+03, atom= 1334
Step=   59, Dmax= 2.6e-02 nm, Epot= -4.96332e+05 Fmax= 3.03966e+04, atom= 1334
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.97764e+05 Fmax= 1.09024e+04, atom= 1334
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.97934e+05 Fmax= 1.27570e+04, atom= 1334
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.98033e+05 Fmax= 1.54127e+04, atom= 1334
