
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128R
Command line:
  gmx mdrun -v -deffnm O52681_V128R_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128R_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.37086e+05 Fmax= 6.53235e+04, atom= 1931
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.38833e+05 Fmax= 1.77212e+04, atom= 1931
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.41551e+05 Fmax= 5.35632e+03, atom= 1916
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.49143e+05 Fmax= 5.82687e+03, atom= 2014
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.55123e+05 Fmax= 1.71154e+04, atom= 2013
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.57455e+05 Fmax= 1.12884e+04, atom= 2013
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.60482e+05 Fmax= 2.41330e+04, atom= 2013
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.62448e+05 Fmax= 1.68577e+04, atom= 2013
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.64383e+05 Fmax= 3.38049e+04, atom= 2013
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.66230e+05 Fmax= 2.52690e+04, atom= 2013
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.67036e+05 Fmax= 4.75465e+04, atom= 2013
Step=   11, Dmax= 6.2e-02 nm, Epot= -4.68892e+05 Fmax= 3.75441e+04, atom= 2013
Step=   12, Dmax= 7.4e-02 nm, Epot= -4.68229e+05 Fmax= 6.74101e+04, atom= 2013
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.70998e+05 Fmax= 1.23529e+04, atom= 2013
Step=   14, Dmax= 4.5e-02 nm, Epot= -4.72011e+05 Fmax= 4.73680e+04, atom= 2013
Step=   15, Dmax= 5.3e-02 nm, Epot= -4.74410e+05 Fmax= 2.56728e+04, atom= 2013
