
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128S
Command line:
  gmx mdrun -v -deffnm O52681_V128S_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128S_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38723e+05 Fmax= 3.27614e+03, atom= 51
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.47337e+05 Fmax= 4.05760e+03, atom= 1223
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.50860e+05 Fmax= 1.24079e+04, atom= 1334
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.55565e+05 Fmax= 9.28520e+03, atom= 1334
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.57188e+05 Fmax= 1.67973e+04, atom= 1334
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.59974e+05 Fmax= 1.49692e+04, atom= 1334
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.60930e+05 Fmax= 2.28152e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.62940e+05 Fmax= 2.27441e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.63091e+05 Fmax= 3.14618e+04, atom= 1334
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.64275e+05 Fmax= 3.35670e+04, atom= 1334
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.63102e+05 Fmax= 4.35857e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.68933e+05 Fmax= 5.40574e+03, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.68696e+05 Fmax= 4.24092e+04, atom= 1334
Step=   13, Dmax= 1.5e-02 nm, Epot= -4.70657e+05 Fmax= 1.81785e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.72216e+05 Fmax= 1.00788e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.72518e+05 Fmax= 2.40736e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.74247e+05 Fmax= 1.65765e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.73281e+05 Fmax= 3.23379e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.75575e+05 Fmax= 7.91427e+03, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.76033e+05 Fmax= 2.13092e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.77487e+05 Fmax= 1.39861e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.76907e+05 Fmax= 2.81064e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.78508e+05 Fmax= 7.08496e+03, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.79022e+05 Fmax= 1.84630e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.80179e+05 Fmax= 1.19377e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.79891e+05 Fmax= 2.47170e+04, atom= 1334
Step=   26, Dmax= 1.2e-02 nm, Epot= -4.81003e+05 Fmax= 6.40534e+03, atom= 1334
Step=   27, Dmax= 1.4e-02 nm, Epot= -4.81575e+05 Fmax= 1.54228e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.82449e+05 Fmax= 1.09883e+04, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.82479e+05 Fmax= 2.04945e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.83347e+05 Fmax= 1.74319e+04, atom= 1334
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.82758e+05 Fmax= 2.77990e+04, atom= 1334
