
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128T
Command line:
  gmx mdrun -v -deffnm O52681_V128T_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128T_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.38545e+05 Fmax= 3.28215e+03, atom= 51
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.47190e+05 Fmax= 4.11055e+03, atom= 1223
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.50785e+05 Fmax= 1.24716e+04, atom= 1334
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.55424e+05 Fmax= 9.25422e+03, atom= 1334
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.57127e+05 Fmax= 1.68270e+04, atom= 1334
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.59889e+05 Fmax= 1.49529e+04, atom= 1334
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.60915e+05 Fmax= 2.28235e+04, atom= 1334
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.62919e+05 Fmax= 2.27479e+04, atom= 1334
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.63159e+05 Fmax= 3.14510e+04, atom= 1334
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.64358e+05 Fmax= 3.35917e+04, atom= 1334
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.63330e+05 Fmax= 4.35578e+04, atom= 1334
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.68844e+05 Fmax= 5.37978e+03, atom= 1334
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.68901e+05 Fmax= 4.24828e+04, atom= 1334
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.74173e+05 Fmax= 1.44424e+04, atom= 1334
Step=   14, Dmax= 4.5e-02 nm, Epot= -4.68959e+05 Fmax= 5.34217e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.74792e+05 Fmax= 1.96264e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.75544e+05 Fmax= 2.10033e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.75612e+05 Fmax= 2.78297e+04, atom= 1334
