
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128W
Command line:
  gmx mdrun -v -deffnm O52681_V128W_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128W_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -2.65166e+05 Fmax= 1.52868e+07, atom= 2117
Step=    1, Dmax= 1.0e-02 nm, Epot= -3.88278e+05 Fmax= 1.78171e+06, atom= 2117
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.17128e+05 Fmax= 2.52739e+05, atom= 2015
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.32905e+05 Fmax= 6.35163e+04, atom= 2016
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.37264e+05 Fmax= 1.49463e+04, atom= 2016
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.42817e+05 Fmax= 4.00696e+03, atom= 2009
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.55763e+05 Fmax= 2.29961e+04, atom= 2006
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.58849e+05 Fmax= 1.31057e+04, atom= 2010
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.57904e+05 Fmax= 4.02463e+04, atom= 2010
Step=    9, Dmax= 1.8e-02 nm, Epot= -4.60935e+05 Fmax= 1.23966e+04, atom= 2010
Step=   10, Dmax= 2.1e-02 nm, Epot= -4.62599e+05 Fmax= 1.76302e+04, atom= 2010
Step=   11, Dmax= 2.6e-02 nm, Epot= -4.64166e+05 Fmax= 1.91240e+04, atom= 2010
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.65035e+05 Fmax= 2.45655e+04, atom= 2010
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.65736e+05 Fmax= 2.88807e+04, atom= 2010
Step=   14, Dmax= 4.5e-02 nm, Epot= -4.65582e+05 Fmax= 3.45658e+04, atom= 2010
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.69330e+05 Fmax= 3.71783e+03, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.70694e+05 Fmax= 3.67630e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.75588e+05 Fmax= 1.24206e+04, atom= 1334
Step=   18, Dmax= 3.9e-02 nm, Epot= -4.71710e+05 Fmax= 4.59841e+04, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.76227e+05 Fmax= 1.68342e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.76948e+05 Fmax= 1.85197e+04, atom= 1334
