
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128Y
Command line:
  gmx mdrun -v -deffnm O52681_V128Y_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128Y_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  1.92742e+08 Fmax= 6.97017e+10, atom= 2009
Step=    1, Dmax= 1.0e-02 nm, Epot=  2.51757e+05 Fmax= 1.53217e+08, atom= 2009
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.22447e+05 Fmax= 1.36620e+06, atom= 2009
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.34551e+05 Fmax= 1.06030e+05, atom= 1324
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.37960e+05 Fmax= 2.53657e+04, atom= 1377
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.41349e+05 Fmax= 5.66325e+03, atom= 2008
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.52802e+05 Fmax= 9.58074e+03, atom= 2010
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.57705e+05 Fmax= 2.74485e+04, atom= 2010
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.60135e+05 Fmax= 1.65209e+04, atom= 2010
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.61734e+05 Fmax= 3.92347e+04, atom= 2010
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.63989e+05 Fmax= 2.84227e+04, atom= 2010
Step=   11, Dmax= 6.2e-02 nm, Epot= -4.61278e+05 Fmax= 5.54597e+04, atom= 2008
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.66220e+05 Fmax= 1.34674e+04, atom= 2010
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.65510e+05 Fmax= 3.78314e+04, atom= 2008
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.67669e+05 Fmax= 1.19160e+04, atom= 2008
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.68633e+05 Fmax= 1.82412e+04, atom= 2008
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.69562e+05 Fmax= 1.89390e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.68925e+05 Fmax= 3.00775e+04, atom= 1334
Step=   18, Dmax= 1.6e-02 nm, Epot= -4.71808e+05 Fmax= 5.65029e+03, atom= 1334
Step=   19, Dmax= 1.9e-02 nm, Epot= -4.72809e+05 Fmax= 2.34964e+04, atom= 1334
Step=   20, Dmax= 2.3e-02 nm, Epot= -4.74889e+05 Fmax= 1.19038e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.74231e+05 Fmax= 3.01779e+04, atom= 1334
Step=   22, Dmax= 1.4e-02 nm, Epot= -4.75861e+05 Fmax= 9.15695e+03, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.76544e+05 Fmax= 1.64285e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.77507e+05 Fmax= 1.39456e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.77677e+05 Fmax= 2.27569e+04, atom= 1334
Step=   26, Dmax= 2.9e-02 nm, Epot= -4.78600e+05 Fmax= 2.08892e+04, atom= 1334
Step=   27, Dmax= 3.5e-02 nm, Epot= -4.78009e+05 Fmax= 3.16393e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.80138e+05 Fmax= 5.46030e+03, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.80459e+05 Fmax= 2.58306e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.82268e+05 Fmax= 1.22013e+04, atom= 1334
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.80986e+05 Fmax= 3.30078e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.82933e+05 Fmax= 1.04244e+04, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.83255e+05 Fmax= 1.70299e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.83909e+05 Fmax= 1.55951e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.83800e+05 Fmax= 2.37892e+04, atom= 1334
Step=   36, Dmax= 1.3e-02 nm, Epot= -4.84827e+05 Fmax= 4.13664e+03, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.85473e+05 Fmax= 1.91578e+04, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.86535e+05 Fmax= 9.28331e+03, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.86164e+05 Fmax= 2.44958e+04, atom= 1334
Step=   40, Dmax= 1.1e-02 nm, Epot= -4.87041e+05 Fmax= 7.61544e+03, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.87412e+05 Fmax= 1.29446e+04, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.87924e+05 Fmax= 1.14345e+04, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.88037e+05 Fmax= 1.80690e+04, atom= 1334
Step=   44, Dmax= 2.3e-02 nm, Epot= -4.88532e+05 Fmax= 1.70104e+04, atom= 1334
Step=   45, Dmax= 2.8e-02 nm, Epot= -4.88232e+05 Fmax= 2.52803e+04, atom= 1334
Step=   46, Dmax= 1.4e-02 nm, Epot= -4.89437e+05 Fmax= 4.18395e+03, atom= 1334
Step=   47, Dmax= 1.7e-02 nm, Epot= -4.89690e+05 Fmax= 2.08753e+04, atom= 1334
Step=   48, Dmax= 2.0e-02 nm, Epot= -4.90768e+05 Fmax= 9.68315e+03, atom= 1334
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.90051e+05 Fmax= 2.66259e+04, atom= 1334
