
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/P00221_E142A
Command line:
  gmx mdrun -v -deffnm P00221_E142A_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file P00221_E142A_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -8.85801e+05 Fmax= 1.03412e+06, atom= 1839
Step=    1, Dmax= 1.0e-02 nm, Epot= -8.94527e+05 Fmax= 1.91000e+05, atom= 1839
Step=    2, Dmax= 1.2e-02 nm, Epot= -8.98366e+05 Fmax= 4.82446e+04, atom= 1363
Step=    3, Dmax= 1.4e-02 nm, Epot= -9.01647e+05 Fmax= 1.13740e+04, atom= 1839
Step=    4, Dmax= 1.7e-02 nm, Epot= -9.11329e+05 Fmax= 2.55484e+03, atom= 1397
Step=    5, Dmax= 2.1e-02 nm, Epot= -9.46045e+05 Fmax= 8.57114e+03, atom= 2062
Step=    6, Dmax= 2.5e-02 nm, Epot= -9.45825e+05 Fmax= 2.42344e+04, atom= 2062
Step=    7, Dmax= 1.2e-02 nm, Epot= -9.49972e+05 Fmax= 8.43806e+03, atom= 1684
Step=    8, Dmax= 1.5e-02 nm, Epot= -9.53156e+05 Fmax= 1.40348e+04, atom= 1672
Step=    9, Dmax= 1.8e-02 nm, Epot= -9.56511e+05 Fmax= 1.31809e+04, atom= 1672
Step=   10, Dmax= 2.1e-02 nm, Epot= -9.59003e+05 Fmax= 1.95800e+04, atom= 1672
Step=   11, Dmax= 2.6e-02 nm, Epot= -9.61780e+05 Fmax= 1.95111e+04, atom= 1672
Step=   12, Dmax= 3.1e-02 nm, Epot= -9.63598e+05 Fmax= 2.74492e+04, atom= 1672
Step=   13, Dmax= 3.7e-02 nm, Epot= -9.65885e+05 Fmax= 2.85285e+04, atom= 1672
Step=   14, Dmax= 4.5e-02 nm, Epot= -9.66784e+05 Fmax= 3.84862e+04, atom= 1672
Step=   15, Dmax= 5.3e-02 nm, Epot= -9.68389e+05 Fmax= 4.10978e+04, atom= 1672
Step=   16, Dmax= 6.4e-02 nm, Epot= -9.67622e+05 Fmax= 5.35708e+04, atom= 1672
Step=   17, Dmax= 3.2e-02 nm, Epot= -9.73446e+05 Fmax= 6.93333e+03, atom= 1672
Step=   18, Dmax= 3.9e-02 nm, Epot= -9.74951e+05 Fmax= 5.12802e+04, atom= 1672
Step=   19, Dmax= 4.6e-02 nm, Epot= -9.80986e+05 Fmax= 1.93582e+04, atom= 1672
Step=   20, Dmax= 5.5e-02 nm, Epot= -9.75933e+05 Fmax= 6.37694e+04, atom= 1672
Step=   21, Dmax= 2.8e-02 nm, Epot= -9.82260e+05 Fmax= 2.24578e+04, atom= 1672
Step=   22, Dmax= 3.3e-02 nm, Epot= -9.83206e+05 Fmax= 2.79151e+04, atom= 1672
Step=   23, Dmax= 4.0e-02 nm, Epot= -9.84054e+05 Fmax= 3.20307e+04, atom= 1672
Step=   24, Dmax= 4.8e-02 nm, Epot= -9.84165e+05 Fmax= 3.97693e+04, atom= 1672
Step=   25, Dmax= 5.8e-02 nm, Epot= -9.84141e+05 Fmax= 4.53181e+04, atom= 1672
Step=   26, Dmax= 2.9e-02 nm, Epot= -9.88427e+05 Fmax= 3.55515e+03, atom= 1672
Step=   27, Dmax= 3.5e-02 nm, Epot= -9.91206e+05 Fmax= 4.78505e+04, atom= 1672
Step=   28, Dmax= 4.1e-02 nm, Epot= -9.96867e+05 Fmax= 1.64678e+04, atom= 1672
Step=   29, Dmax= 5.0e-02 nm, Epot= -9.91685e+05 Fmax= 5.78716e+04, atom= 1672
Step=   30, Dmax= 2.5e-02 nm, Epot= -9.97507e+05 Fmax= 2.14702e+04, atom= 1672
Step=   31, Dmax= 3.0e-02 nm, Epot= -9.98206e+05 Fmax= 2.39513e+04, atom= 1672
Step=   32, Dmax= 3.6e-02 nm, Epot= -9.98415e+05 Fmax= 3.02041e+04, atom= 1672
Step=   33, Dmax= 4.3e-02 nm, Epot= -9.98646e+05 Fmax= 3.44491e+04, atom= 1672
Step=   34, Dmax= 5.2e-02 nm, Epot= -9.97970e+05 Fmax= 4.25182e+04, atom= 1672
Step=   35, Dmax= 2.6e-02 nm, Epot= -1.00182e+06 Fmax= 4.44397e+03, atom= 1672
Step=   36, Dmax= 3.1e-02 nm, Epot= -1.00166e+06 Fmax= 4.26550e+04, atom= 1672
Step=   37, Dmax= 1.5e-02 nm, Epot= -1.00313e+06 Fmax= 1.87244e+04, atom= 1672
Step=   38, Dmax= 1.9e-02 nm, Epot= -1.00436e+06 Fmax= 9.48799e+03, atom= 1672
