
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/P00221_E142K
Command line:
  gmx mdrun -v -deffnm P00221_E142K_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file P00221_E142K_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -8.85169e+05 Fmax= 1.03411e+06, atom= 1839
Step=    1, Dmax= 1.0e-02 nm, Epot= -8.93933e+05 Fmax= 1.90981e+05, atom= 1839
Step=    2, Dmax= 1.2e-02 nm, Epot= -8.97942e+05 Fmax= 4.82877e+04, atom= 1363
Step=    3, Dmax= 1.4e-02 nm, Epot= -9.01400e+05 Fmax= 1.13705e+04, atom= 1839
Step=    4, Dmax= 1.7e-02 nm, Epot= -9.11067e+05 Fmax= 2.55974e+03, atom= 1397
Step=    5, Dmax= 2.1e-02 nm, Epot= -9.45283e+05 Fmax= 1.50920e+04, atom= 2074
Step=    6, Dmax= 2.5e-02 nm, Epot= -9.49202e+05 Fmax= 1.77983e+04, atom= 2074
Step=    7, Dmax= 3.0e-02 nm, Epot= -9.52035e+05 Fmax= 2.20594e+04, atom= 2074
Step=    8, Dmax= 3.6e-02 nm, Epot= -9.54037e+05 Fmax= 2.65296e+04, atom= 2074
Step=    9, Dmax= 4.3e-02 nm, Epot= -9.54750e+05 Fmax= 3.49915e+04, atom= 1672
Step=   10, Dmax= 5.2e-02 nm, Epot= -9.56240e+05 Fmax= 4.21792e+04, atom= 1672
Step=   11, Dmax= 6.2e-02 nm, Epot= -9.57189e+05 Fmax= 4.95467e+04, atom= 1672
Step=   12, Dmax= 7.4e-02 nm, Epot= -9.56622e+05 Fmax= 5.83868e+04, atom= 1672
Step=   13, Dmax= 3.7e-02 nm, Epot= -9.67236e+05 Fmax= 5.93210e+03, atom= 1672
Step=   14, Dmax= 4.5e-02 nm, Epot= -9.69772e+05 Fmax= 6.07332e+04, atom= 1672
Step=   15, Dmax= 5.3e-02 nm, Epot= -9.78283e+05 Fmax= 2.22334e+04, atom= 1672
Step=   16, Dmax= 6.4e-02 nm, Epot= -9.70800e+05 Fmax= 7.33472e+04, atom= 1672
Step=   17, Dmax= 3.2e-02 nm, Epot= -9.79499e+05 Fmax= 2.65510e+04, atom= 1672
Step=   18, Dmax= 3.9e-02 nm, Epot= -9.80439e+05 Fmax= 3.18079e+04, atom= 1672
Step=   19, Dmax= 4.6e-02 nm, Epot= -9.81055e+05 Fmax= 3.75693e+04, atom= 1672
Step=   20, Dmax= 5.5e-02 nm, Epot= -9.81038e+05 Fmax= 4.50388e+04, atom= 1672
Step=   21, Dmax= 2.8e-02 nm, Epot= -9.84784e+05 Fmax= 4.29580e+03, atom= 1672
Step=   22, Dmax= 3.3e-02 nm, Epot= -9.87552e+05 Fmax= 4.59454e+04, atom= 1672
Step=   23, Dmax= 4.0e-02 nm, Epot= -9.92374e+05 Fmax= 1.53902e+04, atom= 1672
