
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/P00221_E142Q
Command line:
  gmx mdrun -v -deffnm P00221_E142Q_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file P00221_E142Q_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -8.86226e+05 Fmax= 1.03412e+06, atom= 1839
Step=    1, Dmax= 1.0e-02 nm, Epot= -8.94952e+05 Fmax= 1.90993e+05, atom= 1839
Step=    2, Dmax= 1.2e-02 nm, Epot= -8.98790e+05 Fmax= 4.82489e+04, atom= 1363
Step=    3, Dmax= 1.4e-02 nm, Epot= -9.02063e+05 Fmax= 1.13708e+04, atom= 1839
Step=    4, Dmax= 1.7e-02 nm, Epot= -9.11707e+05 Fmax= 2.55609e+03, atom= 1397
Step=    5, Dmax= 2.1e-02 nm, Epot= -9.46198e+05 Fmax= 1.40025e+04, atom= 2069
Step=    6, Dmax= 2.5e-02 nm, Epot= -9.49832e+05 Fmax= 1.87867e+04, atom= 2069
Step=    7, Dmax= 3.0e-02 nm, Epot= -9.52771e+05 Fmax= 2.10202e+04, atom= 2069
Step=    8, Dmax= 3.6e-02 nm, Epot= -9.54133e+05 Fmax= 2.74826e+04, atom= 2069
Step=    9, Dmax= 4.3e-02 nm, Epot= -9.55143e+05 Fmax= 3.57597e+04, atom= 1672
Step=   10, Dmax= 5.2e-02 nm, Epot= -9.57199e+05 Fmax= 4.13881e+04, atom= 1672
Step=   11, Dmax= 6.2e-02 nm, Epot= -9.57635e+05 Fmax= 5.03390e+04, atom= 1672
Step=   12, Dmax= 7.4e-02 nm, Epot= -9.57702e+05 Fmax= 5.75902e+04, atom= 1672
