
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/P18187_P238C
Command line:
  gmx mdrun -v -deffnm P18187_P238C_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file P18187_P238C_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -8.11505e+05 Fmax= 1.24245e+04, atom= 502
Step=    1, Dmax= 1.0e-02 nm, Epot= -8.16630e+05 Fmax= 3.09146e+03, atom= 1189
Step=    2, Dmax= 1.2e-02 nm, Epot= -8.35605e+05 Fmax= 1.35892e+04, atom= 1188
Step=    3, Dmax= 1.4e-02 nm, Epot= -8.39603e+05 Fmax= 2.51070e+03, atom= 1188
Step=    4, Dmax= 1.7e-02 nm, Epot= -8.59206e+05 Fmax= 1.96986e+04, atom= 1188
Step=    5, Dmax= 2.1e-02 nm, Epot= -8.61755e+05 Fmax= 6.03995e+03, atom= 999
Step=    6, Dmax= 2.5e-02 nm, Epot= -8.67320e+05 Fmax= 3.24436e+04, atom= 999
Step=    7, Dmax= 3.0e-02 nm, Epot= -8.70446e+05 Fmax= 1.35167e+04, atom= 999
Step=    8, Dmax= 3.6e-02 nm, Epot= -8.72185e+05 Fmax= 4.16145e+04, atom= 999
Step=    9, Dmax= 4.3e-02 nm, Epot= -8.75213e+05 Fmax= 2.41679e+04, atom= 999
Step=   10, Dmax= 5.2e-02 nm, Epot= -8.74854e+05 Fmax= 5.42573e+04, atom= 999
Step=   11, Dmax= 2.6e-02 nm, Epot= -8.77074e+05 Fmax= 1.51922e+04, atom= 999
Step=   12, Dmax= 3.1e-02 nm, Epot= -8.78582e+05 Fmax= 3.20465e+04, atom= 999
Step=   13, Dmax= 3.7e-02 nm, Epot= -8.80472e+05 Fmax= 2.46125e+04, atom= 999
Step=   14, Dmax= 4.5e-02 nm, Epot= -8.80903e+05 Fmax= 4.31626e+04, atom= 999
Step=   15, Dmax= 5.3e-02 nm, Epot= -8.82737e+05 Fmax= 3.74511e+04, atom= 999
Step=   16, Dmax= 6.4e-02 nm, Epot= -8.81690e+05 Fmax= 5.85134e+04, atom= 999
Step=   17, Dmax= 3.2e-02 nm, Epot= -8.85266e+05 Fmax= 1.10320e+04, atom= 999
Step=   18, Dmax= 3.9e-02 nm, Epot= -8.85832e+05 Fmax= 4.81588e+04, atom= 999
Step=   19, Dmax= 4.6e-02 nm, Epot= -8.89043e+05 Fmax= 2.25510e+04, atom= 999
Step=   20, Dmax= 5.5e-02 nm, Epot= -8.86931e+05 Fmax= 6.15861e+04, atom= 999
Step=   21, Dmax= 2.8e-02 nm, Epot= -8.90283e+05 Fmax= 1.95881e+04, atom= 999
Step=   22, Dmax= 3.3e-02 nm, Epot= -8.90966e+05 Fmax= 3.10640e+04, atom= 999
Step=   23, Dmax= 4.0e-02 nm, Epot= -8.92116e+05 Fmax= 2.95427e+04, atom= 999
Step=   24, Dmax= 4.8e-02 nm, Epot= -8.92079e+05 Fmax= 4.29967e+04, atom= 999
Step=   25, Dmax= 2.4e-02 nm, Epot= -8.93828e+05 Fmax= 6.96024e+03, atom= 999
Step=   26, Dmax= 2.9e-02 nm, Epot= -8.95255e+05 Fmax= 3.73729e+04, atom= 999
Step=   27, Dmax= 3.5e-02 nm, Epot= -8.97361e+05 Fmax= 1.57650e+04, atom= 999
Step=   28, Dmax= 4.1e-02 nm, Epot= -8.96696e+05 Fmax= 4.74963e+04, atom= 999
Step=   29, Dmax= 2.1e-02 nm, Epot= -8.98258e+05 Fmax= 1.59280e+04, atom= 999
Step=   30, Dmax= 2.5e-02 nm, Epot= -8.99011e+05 Fmax= 2.21653e+04, atom= 999
Step=   31, Dmax= 3.0e-02 nm, Epot= -8.99811e+05 Fmax= 2.34041e+04, atom= 999
Step=   32, Dmax= 3.6e-02 nm, Epot= -9.00256e+05 Fmax= 3.12701e+04, atom= 999
Step=   33, Dmax= 4.3e-02 nm, Epot= -9.00867e+05 Fmax= 3.38578e+04, atom= 999
Step=   34, Dmax= 5.2e-02 nm, Epot= -9.00758e+05 Fmax= 4.40287e+04, atom= 999
Step=   35, Dmax= 2.6e-02 nm, Epot= -9.02664e+05 Fmax= 5.43384e+03, atom= 999
Step=   36, Dmax= 3.1e-02 nm, Epot= -9.03859e+05 Fmax= 4.23633e+04, atom= 999
Step=   37, Dmax= 3.7e-02 nm, Epot= -9.06144e+05 Fmax= 1.51610e+04, atom= 999
Step=   38, Dmax= 4.5e-02 nm, Epot= -9.04825e+05 Fmax= 5.27079e+04, atom= 999
Step=   39, Dmax= 2.2e-02 nm, Epot= -9.06758e+05 Fmax= 1.89406e+04, atom= 999
Step=   40, Dmax= 2.7e-02 nm, Epot= -9.07329e+05 Fmax= 2.20986e+04, atom= 999
Step=   41, Dmax= 3.2e-02 nm, Epot= -9.07786e+05 Fmax= 2.68357e+04, atom= 999
Step=   42, Dmax= 3.8e-02 nm, Epot= -9.08146e+05 Fmax= 3.19146e+04, atom= 999
Step=   43, Dmax= 4.6e-02 nm, Epot= -9.08333e+05 Fmax= 3.79043e+04, atom= 999
Step=   44, Dmax= 5.5e-02 nm, Epot= -9.08225e+05 Fmax= 4.55511e+04, atom= 999
Step=   45, Dmax= 2.8e-02 nm, Epot= -9.10226e+05 Fmax= 4.35985e+03, atom= 999
Step=   46, Dmax= 3.3e-02 nm, Epot= -9.11282e+05 Fmax= 4.67341e+04, atom= 999
Step=   47, Dmax= 4.0e-02 nm, Epot= -9.13692e+05 Fmax= 1.57393e+04, atom= 999
Step=   48, Dmax= 4.8e-02 nm, Epot= -9.11921e+05 Fmax= 5.67331e+04, atom= 999
Step=   49, Dmax= 2.4e-02 nm, Epot= -9.14105e+05 Fmax= 2.09411e+04, atom= 999
Step=   50, Dmax= 2.9e-02 nm, Epot= -9.14541e+05 Fmax= 2.33277e+04, atom= 999
Step=   51, Dmax= 3.4e-02 nm, Epot= -9.14798e+05 Fmax= 2.92163e+04, atom= 999
Step=   52, Dmax= 4.1e-02 nm, Epot= -9.15034e+05 Fmax= 3.39210e+04, atom= 999
Step=   53, Dmax= 5.0e-02 nm, Epot= -9.15015e+05 Fmax= 4.08995e+04, atom= 999
Step=   54, Dmax= 2.5e-02 nm, Epot= -9.16392e+05 Fmax= 3.88602e+03, atom= 999
Step=   55, Dmax= 3.0e-02 nm, Epot= -9.17454e+05 Fmax= 4.18296e+04, atom= 999
Step=   56, Dmax= 3.6e-02 nm, Epot= -9.19222e+05 Fmax= 1.35612e+04, atom= 999
Step=   57, Dmax= 4.3e-02 nm, Epot= -9.17920e+05 Fmax= 5.20442e+04, atom= 999
Step=   58, Dmax= 2.1e-02 nm, Epot= -9.19557e+05 Fmax= 1.95558e+04, atom= 999
Step=   59, Dmax= 2.6e-02 nm, Epot= -9.19962e+05 Fmax= 1.99023e+04, atom= 999
Step=   60, Dmax= 3.1e-02 nm, Epot= -9.20128e+05 Fmax= 2.74666e+04, atom= 999
Step=   61, Dmax= 3.7e-02 nm, Epot= -9.20457e+05 Fmax= 2.89580e+04, atom= 999
Step=   62, Dmax= 4.4e-02 nm, Epot= -9.20316e+05 Fmax= 3.86387e+04, atom= 999
Step=   63, Dmax= 2.2e-02 nm, Epot= -9.21421e+05 Fmax= 5.05105e+03, atom= 999
Step=   64, Dmax= 2.7e-02 nm, Epot= -9.21872e+05 Fmax= 3.61170e+04, atom= 999
Step=   65, Dmax= 3.2e-02 nm, Epot= -9.23104e+05 Fmax= 1.33931e+04, atom= 999
Step=   66, Dmax= 3.8e-02 nm, Epot= -9.22312e+05 Fmax= 4.52371e+04, atom= 999
Step=   67, Dmax= 1.9e-02 nm, Epot= -9.23440e+05 Fmax= 1.60107e+04, atom= 999
Step=   68, Dmax= 2.3e-02 nm, Epot= -9.23736e+05 Fmax= 1.94159e+04, atom= 999
Step=   69, Dmax= 2.8e-02 nm, Epot= -9.24000e+05 Fmax= 2.28371e+04, atom= 999
Step=   70, Dmax= 3.3e-02 nm, Epot= -9.24169e+05 Fmax= 2.79710e+04, atom= 999
Step=   71, Dmax= 4.0e-02 nm, Epot= -9.24300e+05 Fmax= 3.24710e+04, atom= 999
Step=   72, Dmax= 4.8e-02 nm, Epot= -9.24195e+05 Fmax= 3.99723e+04, atom= 999
Step=   73, Dmax= 2.4e-02 nm, Epot= -9.25376e+05 Fmax= 4.07211e+03, atom= 999
Step=   74, Dmax= 2.9e-02 nm, Epot= -9.25863e+05 Fmax= 3.99976e+04, atom= 999
Step=   75, Dmax= 3.4e-02 nm, Epot= -9.27242e+05 Fmax= 1.35907e+04, atom= 999
Step=   76, Dmax= 4.1e-02 nm, Epot= -9.26168e+05 Fmax= 4.91880e+04, atom= 999
Step=   77, Dmax= 2.1e-02 nm, Epot= -9.27493e+05 Fmax= 1.80245e+04, atom= 999
Step=   78, Dmax= 2.5e-02 nm, Epot= -9.27756e+05 Fmax= 2.01400e+04, atom= 999
Step=   79, Dmax= 3.0e-02 nm, Epot= -9.27913e+05 Fmax= 2.52375e+04, atom= 999
Step=   80, Dmax= 3.6e-02 nm, Epot= -9.28060e+05 Fmax= 2.93538e+04, atom= 999
Step=   81, Dmax= 4.3e-02 nm, Epot= -9.28056e+05 Fmax= 3.54694e+04, atom= 999
Step=   82, Dmax= 2.1e-02 nm, Epot= -9.28895e+05 Fmax= 3.31577e+03, atom= 999
Step=   83, Dmax= 2.6e-02 nm, Epot= -9.29609e+05 Fmax= 3.61899e+04, atom= 999
Step=   84, Dmax= 3.1e-02 nm, Epot= -9.30701e+05 Fmax= 1.14653e+04, atom= 999
