,structure_id,cofactor_id,cofactor_type,burial_depth,radius
0,P0A3C7,P0A3C7_FES,FES,4.727313995361328,1
1,P00263,P00263_SF4,SF4,6.9117608070373535,1
2,O52681_V128K,O52681_V128K_FES,FES,5.17901611328125,1
3,Q8N5K1,Q8N5K1_FES,FES,5.1802897453308105,1
4,Q8N5K1,Q8N5K1_FES,FES,5.211734294891357,1
5,P00459,P00459_SF4,SF4,21.490318298339844,1
6,P00208_C58S,P00208_C58S_SF4_proximal,SF4,5.556431770324707,1
7,P00208_C58S,P00208_C58S_SF4_distal,SF4,7.748317718505859,1
8,O52681,O52681_FES,FES,5.3061065673828125,1
9,P00262,P00262_SF4,SF4,6.980329990386963,1
10,P00260,P00260_SF4,SF4,6.220101833343506,1
11,O52681_V128H,O52681_V128H_FES,FES,5.20323371887207,1
12,P07485,P07485_SF4,SF4,6.079768657684326,1
13,O52681_V128I,O52681_V128I_FES,FES,5.0985283851623535,1
14,Q9NZ45,Q9NZ45_FES,FES,5.203970432281494,1
15,Q9NZ45,Q9NZ45_FES,FES,5.178198337554932,1
16,P00261,P00261_SF4,SF4,6.736727237701416,1
17,P00259,P00259_FES,FES,5.08641242980957,1
18,P00265,P00265_SF4,SF4,8.918804168701172,1
19,Q9CQB5,Q9CQB5_FES,FES,5.509145736694336,1
20,P33678,P33678_SF4,SF4,5.909873008728027,1
21,O52681_V128M,O52681_V128M_FES,FES,5.227012634277344,1
22,P00207_T10I,P00207_T10I_SF4_proximal,SF4,5.56503963470459,1
23,P00207_T10I,P00207_T10I_SF4_distal,SF4,6.961597919464111,1
24,P46797,P46797_SF4,SF4,5.323875904083252,1
25,O52681_T81P,O52681_T81P_FES,FES,5.1654767990112305,1
26,P27787,P27787_FES,FES,4.864181041717529,1
27,Q46FL2,Q46FL2_SF4,SF4,13.993290901184082,1
28,P80882,P80882_SF4,SF4,6.0850911140441895,1
29,O52681_V128L,O52681_V128L_FES,FES,5.305030822753906,1
30,P00264,P00264_SF4,SF4,8.683514595031738,1
31,P11425,P11425_SF4_proximal,SF4,2.964627742767334,1
32,P11425,P11425_SF4_distal,SF4,13.658556938171387,1
33,P00266,P00266_SF4,SF4,5.912142753601074,1
34,Q9X115,Q9X115_SF4_proximal,SF4,5.18434476852417,1
35,Q9X115,Q9X115_SF4_distal,SF4,7.258875846862793,1
36,O52681_V128Y,O52681_V128Y_FES,FES,4.629488468170166,1
37,O52681_V128N,O52681_V128N_FES,FES,5.162646293640137,1
38,P50727,P50727_SF4,SF4,5.155068874359131,1
39,P00208_C58A,P00208_C58A_SF4_proximal,SF4,5.600997447967529,1
40,P00208_C58A,P00208_C58A_SF4_distal,SF4,7.78748083114624,1
41,Q46FL1,Q46FL1_SF4,SF4,6.6924920082092285,1
42,P73276,P73276_F3S,F3S,27.706323623657227,1
43,P00200,P00200_SF4_proximal,SF4,5.299907684326172,1
44,P00200,P00200_SF4_distal,SF4,5.343563556671143,1
45,P00214,P00214_SF4,SF4,5.480066776275635,1
46,P00214,P00214_F3S,F3S,7.188204765319824,1
47,P38589,P38589_SF4,SF4,6.268479347229004,1
48,O23813,O23813_SF4,SF4,22.099201202392578,1
49,P16099,P16099_SF4,SF4,25.842288970947266,1
50,O52681_A82P,O52681_A82P_FES,FES,5.127352714538574,1
51,O23344,O23344_FES,FES,17.01288414001465,1
52,P12943,P12943_SF4_proximal,SF4,9.194936752319336,1
53,P12943,P12943_F3S_intermediate,F3S,14.524834632873535,1
54,P12943,P12943_SF4_distal,SF4,17.02252769470215,1
55,P00221_E142A,P00221_E142A_FES,FES,4.613131523132324,1
56,Q46136,Q46136_FES,FES,6.762266159057617,1
57,P00208_D13G_V14G,P00208_D13G_V14G_SF4_proximal,SF4,5.534756660461426,1
58,P00208_D13G_V14G,P00208_D13G_V14G_SF4_distal,SF4,9.72246265411377,1
59,P00203,P00203_SF4,SF4,4.884798049926758,1
60,P71820,P71820_F3S,F3S,5.181469440460205,1
61,Q02762,Q02762_FES,FES,4.790264129638672,1
62,P59799,P59799_FES,FES,5.376213550567627,1
63,P00214_C25A,P00214_C25A_SF4,SF4,5.530542850494385,1
64,P00214_C25A,P00214_C25A_F3S,F3S,7.175111293792725,1
65,P24297_A44V,P24297_A44V_FE,FE,4.315417766571045,1
66,Q55389,Q55389_SF4,SF4,11.718186378479004,1
67,P0A3C7_A46S,P0A3C7_A46S_FES,FES,4.848507404327393,1
68,P00212,P00212_SF4,SF4,4.509288311004639,1
69,P38941,P38941_SF4,SF4,5.9744768142700195,1
70,P14071,P14071_FE,FE,4.252412796020508,1
71,P00221_E142Q,P00221_E142Q_FES,FES,4.565268039703369,1
72,P37332,P37332_FES,FES,4.521425724029541,1
73,P00207,P00207_SF4_proximal,SF4,5.526078701019287,1
74,P00207,P00207_SF4_distal,SF4,6.888730525970459,1
75,Q9FIA7,Q9FIA7_FES,FES,4.698328971862793,1
76,P00211,P00211_SF4_proximal,SF4,4.638064384460449,1
77,P00211,P00211_SF4_distal,SF4,6.701256275177002,1
78,O52396,O52396_FES,FES,4.5944437980651855,1
79,P00198,P00198_SF4_proximal,SF4,5.386987686157227,1
80,P00198,P00198_SF4_distal,SF4,5.4156904220581055,1
81,O80429,O80429_FES,FES,4.462464332580566,1
82,O52681_D79P,O52681_D79P_FES,FES,5.176973819732666,1
83,P27320,P27320_FES,FES,4.504823207855225,1
84,P00210,P00210_SF4,SF4,4.429259300231934,1
85,P05340,P05340_FES,FES,21.96454429626465,1
86,P00221,P00221_FES,FES,4.430877685546875,1
87,P18187_P238C,P18187_P238C_SF4_intermediate,SF4,20.250429153442383,1
88,P18187_P238C,P18187_P238C_SF4_distal,SF4,9.20326042175293,1
89,P18187_P238C,P18187_P238C_SF4_proximal,SF4,17.306020736694336,1
90,P00195,P00195_SF4_proximal,SF4,5.085961818695068,1
91,P00195,P00195_SF4_distal,SF4,4.970224380493164,1
92,P09947,P09947_FE,FE,4.222527980804443,1
93,D9PYF6,D9PYF6_SF4,SF4,14.491074562072754,1
94,O52681_G121P,O52681_G121P_FES,FES,5.493105888366699,1
95,P00208,P00208_SF4_proximal,SF4,5.467318534851074,1
96,P00208,P00208_SF4_distal,SF4,9.646652221679688,1
97,Q9X1L9,Q9X1L9_SF4_proximal,SF4,7.210239887237549,1
98,Q9X1L9,Q9X1L9_SF4_distal,SF4,8.206537246704102,1
99,P00221_E142K,P00221_E142K_FES,FES,4.604642391204834,1
100,P73811,P73811_SF4_proximal,SF4,5.130191326141357,1
101,P73811,P73811_SF4_distal,SF4,7.138221740722656,1
102,P33164,P33164_FES,FES,17.749053955078125,1
103,P00208_V14G,P00208_V14G_SF4_proximal,SF4,5.591257095336914,1
104,P00208_V14G,P00208_V14G_SF4_distal,SF4,7.778514862060547,1
105,P56263,P56263_FE,FE,4.241616249084473,1
106,Q9X2D5,Q9X2D5_SF4_proximal,SF4,5.449528694152832,1
107,Q9X2D5,Q9X2D5_SF4_distal,SF4,8.8373441696167,1
108,P49949,P49949_F3S,F3S,5.064667224884033,1
109,P49949,P49949_SF4,SF4,5.249513626098633,1
110,P00193,P00193_SF4_proximal,SF4,5.382639408111572,1
111,P00193,P00193_SF4_distal,SF4,5.407101631164551,1
112,Q8IED5,Q8IED5_FES,FES,4.482292652130127,1
113,Q9X0Q7,Q9X0Q7_SF4_proximal,SF4,5.368912696838379,1
114,Q9X0Q7,Q9X0Q7_SF4_distal,SF4,5.774193286895752,1
115,D3FQ82,D3FQ82_FES,FES,12.914573669433594,1
116,T2G899,T2G899_SF4_proximal,SF4,17.655841827392578,1
117,T2G899,T2G899_SF4_distal,SF4,8.893115043640137,1
118,P0AE56,P0AE56_FES,FES,4.010603904724121,1
