cofactor_id,struct.burial_depth,struct.iron_count,struct.is_rieske,struct.is_hipip,Protein.count.ALA,Protein.count.ARG,Protein.count.ASN,Protein.count.ASP,Protein.count.CYS,Protein.count.GLN,Protein.count.GLU,Protein.count.GLY,Protein.count.HIS,Protein.count.ILE,Protein.count.LEU,Protein.count.LYS,Protein.count.MET,Protein.count.PHE,Protein.count.PRO,Protein.count.SER,Protein.count.THR,Protein.count.TRP,Protein.count.TYR,Protein.count.VAL,Protein.prop.Volume,Protein.prop.Log(Solubility (m at 20ºC)),Protein.prop.Hydrophobicity,Protein.prop.Isoelectric point,Protein.prop.P(helix),Protein.prop.nOats in side chain,Protein.prop.nSats in side chain,Protein.prop.nNats in side chain,Protein.prop.Steric hindrance,Protein.prop.nH-bonds,Protein.prop.Vol / log(solub),Protein.prop.Vol / P(helix),Protein.prop.Vol / P(sheet),Protein.prop.log(Solub) x Flex,Protein.prop.Steric hindrance x Flexibility,Protein.prop.Flexibility,Protein.prop.P(helix)+P(sheet),Protein.prop.log(Solub) x Hydrophobicity,Protein.prop.Hydrophobicity x Flex.,Protein.prop.V / (P(helix)+P(sheet)),Protein.prop.Steric hindrance / P(helix),Protein.prop.Isoelectric point / P(sheet),Protein.prop.P(sheet),Protein.prop.Vol x isoelectric point,Protein.prop.Isoelectric point / P(helix),Protein.prop.P(helix) / P(sheet),Protein.prop.Steric hindrance / P(sheet),Protein.prop.P(helix) x Flex.,Protein.mean.Volume,Protein.mean.Log(Solubility (m at 20ºC)),Protein.mean.Hydrophobicity,Protein.mean.Isoelectric point,Protein.mean.P(helix),Protein.mean.nOats in side chain,Protein.mean.nSats in side chain,Protein.mean.nNats in side chain,Protein.mean.Steric hindrance,Protein.mean.nH-bonds,Protein.mean.Vol / log(solub),Protein.mean.Vol / P(helix),Protein.mean.Vol / P(sheet),Protein.mean.log(Solub) x Flex,Protein.mean.Steric hindrance x Flexibility,Protein.mean.Flexibility,Protein.mean.P(helix)+P(sheet),Protein.mean.log(Solub) x Hydrophobicity,Protein.mean.Hydrophobicity x Flex.,Protein.mean.V / (P(helix)+P(sheet)),Protein.mean.Steric hindrance / P(helix),Protein.mean.Isoelectric point / P(sheet),Protein.mean.P(sheet),Protein.mean.Vol x isoelectric point,Protein.mean.Isoelectric point / P(helix),Protein.mean.P(helix) / P(sheet),Protein.mean.Steric hindrance / P(sheet),Protein.mean.P(helix) x Flex.,seq.CTDC__PolarizabilityC1,seq.CTDC__PolarizabilityC2,seq.CTDC__PolarizabilityC3,seq.CTDC__SolventAccessibilityC1,seq.CTDC__SolventAccessibilityC2,seq.CTDC__SolventAccessibilityC3,seq.CTDC__SecondaryStrC1,seq.CTDC__SecondaryStrC2,seq.CTDC__SecondaryStrC3,seq.CTDC__ChargeC1,seq.CTDC__ChargeC2,seq.CTDC__ChargeC3,seq.CTDC__PolarityC1,seq.CTDC__PolarityC2,seq.CTDC__PolarityC3,seq.CTDC__NormalizedVDWVC1,seq.CTDC__NormalizedVDWVC2,seq.CTDC__NormalizedVDWVC3,seq.CTDC__HydrophobicityC1,seq.CTDC__HydrophobicityC2,seq.CTDC__HydrophobicityC3,seq.CTDT__PolarizabilityT12,seq.CTDT__PolarizabilityT13,seq.CTDT__PolarizabilityT23,seq.CTDT__SolventAccessibilityT12,seq.CTDT__SolventAccessibilityT13,seq.CTDT__SolventAccessibilityT23,seq.CTDT__SecondaryStrT12,seq.CTDT__SecondaryStrT13,seq.CTDT__SecondaryStrT23,seq.CTDT__ChargeT12,seq.CTDT__ChargeT13,seq.CTDT__ChargeT23,seq.CTDT__PolarityT12,seq.CTDT__PolarityT13,seq.CTDT__PolarityT23,seq.CTDT__NormalizedVDWVT12,seq.CTDT__NormalizedVDWVT13,seq.CTDT__NormalizedVDWVT23,seq.CTDT__HydrophobicityT12,seq.CTDT__HydrophobicityT13,seq.CTDT__HydrophobicityT23,pH,Em
P00263_SF4,6.9117608070373535,4,0,1,9,2,4,5,4,3,6,4,4,3,5,2,0,2,6,7,6,3,3,3,10435.7,-28.432334024540623,31.09,480.03,22.520000000000003,45,4,26,171.68999999999997,174,-3574.2363876544914,40876.50722246163,36188.05780267272,-259.3682780633329,1644.2470000000003,1060.3,46.74,-16.803156565897357,223.574,18100.83652475136,692.4551850954057,1717.8011533990257,24.22,62644.487,2017.0347663338844,83.22996944829242,554.7832659903653,272.826,128.8358024691358,-0.3510164694387732,0.3838271604938271,5.926296296296296,0.2780246913580247,0.5555555555555556,0.0493827160493827,0.3209876543209876,2.119629629629629,2.1481481481481484,-44.12637515622829,504.6482373143412,446.76614571200895,-3.202077506954728,20.29934567901235,13.090123456790122,0.577037037037037,-0.2074463773567575,2.7601728395061724,223.46711758952293,8.548829445622292,21.20742164690155,0.2990123456790123,773.3887283950618,24.901663781899806,1.0275304870159558,6.849176123337843,3.3682222222222227,0.383,0.42,0.198,0.407,0.272,0.321,0.383,0.296,0.321,0.049,0.815,0.136,0.284,0.235,0.099,0.457,0.296,0.198,0.272,0.481,0.247,0.325,0.138,0.188,0.2,0.362,0.188,0.237,0.287,0.163,0.087,0.013,0.175,0.138,0.062,0.062,0.35,0.175,0.113,0.287,0.1,0.3,7.0,352.0
P00459_SF4,21.490318298339844,4,0,0,52,26,26,32,14,14,48,52,4,40,42,32,26,12,16,18,22,0,18,46,71013.8,-203.98362623729005,193.0,3268.46,159.39999999999998,258,40,158,1141.6,1026,34735.14368692474,256110.05469430244,251974.7026155292,-1475.65601171325,9812.751999999997,7146.8,319.16,-112.79310698875686,1363.668,120826.55939787344,4065.247244279629,12211.694798256369,159.76,439385.996,12796.73158968311,593.7569065342055,3621.838402762216,1837.668,131.50703703703704,-0.3777474559949816,0.3574074074074074,6.052703703703703,0.2951851851851851,0.4777777777777778,0.074074074074074,0.2925925925925925,2.114074074074074,1.9,64.32434016097174,474.277879063523,466.61981965838737,-2.7326963179875,18.17176296296296,13.234814814814817,0.5910370370370371,-0.2088761240532534,2.525311111111112,223.7528877738397,7.528235637554867,22.61424962640068,0.2958518518518518,813.6777703703705,23.69765109200576,1.0995498269151955,6.707108153263363,3.403088888888888,0.328,0.454,0.218,0.48,0.328,0.192,0.454,0.28,0.266,0.107,0.745,0.148,0.365,0.192,0.114,0.358,0.399,0.218,0.328,0.339,0.332,0.277,0.165,0.189,0.277,0.166,0.144,0.198,0.207,0.155,0.177,0.015,0.2,0.133,0.074,0.044,0.266,0.179,0.17,0.226,0.196,0.216,7.0,-280.0
P00208_C58S_SF4_proximal,5.556431770324707,4,0,0,3,2,2,6,8,2,14,5,0,7,3,2,2,0,5,5,6,0,3,6,10356.999999999998,-38.94406581729381,29.35,447.26,22.46,58,10,12,174.94,186,-7535.159493243551,40573.06231245535,36196.45861397064,-406.6376259336727,1621.9840000000002,1059.2,47.45,-8.704488810242747,287.36,17746.912807934143,700.4616931563451,1563.1667877428204,24.99,57661.977,1948.4999613570128,83.60257288711877,547.5160196493968,255.385,127.86419753086416,-0.480790936015973,0.3623456790123456,5.521728395061729,0.2772839506172839,0.7160493827160493,0.1234567901234567,0.1481481481481481,2.159753086419753,2.2962962962962963,-93.0266604104142,500.9020038574735,446.8698594317364,-5.020217604119416,20.02449382716049,13.076543209876544,0.5858024691358025,-0.1074628248178116,3.547654320987654,219.0976889868413,8.647675224152408,19.29835540423235,0.3085185185185185,711.8762592592592,24.05555507848164,1.032130529470602,6.759457032708602,3.152901234567901,0.309,0.58,0.111,0.395,0.346,0.259,0.346,0.37,0.284,0.049,0.704,0.247,0.358,0.284,0.049,0.37,0.42,0.111,0.346,0.333,0.321,0.388,0.075,0.113,0.3,0.188,0.225,0.263,0.2,0.188,0.075,0.025,0.35,0.2,0.05,0.013,0.388,0.075,0.113,0.312,0.212,0.175,7.0,-633.0
P00208_C58S_SF4_distal,7.748317718505859,4,0,0,3,2,2,6,8,2,14,5,0,7,3,2,2,0,5,5,6,0,3,6,10356.999999999998,-38.94406581729381,29.35,447.26,22.46,58,10,12,174.94,186,-7535.159493243551,40573.06231245535,36196.45861397064,-406.6376259336727,1621.9840000000002,1059.2,47.45,-8.704488810242747,287.36,17746.912807934143,700.4616931563451,1563.1667877428204,24.99,57661.977,1948.4999613570128,83.60257288711877,547.5160196493968,255.385,127.86419753086416,-0.480790936015973,0.3623456790123456,5.521728395061729,0.2772839506172839,0.7160493827160493,0.1234567901234567,0.1481481481481481,2.159753086419753,2.2962962962962963,-93.0266604104142,500.9020038574735,446.8698594317364,-5.020217604119416,20.02449382716049,13.076543209876544,0.5858024691358025,-0.1074628248178116,3.547654320987654,219.0976889868413,8.647675224152408,19.29835540423235,0.3085185185185185,711.8762592592592,24.05555507848164,1.032130529470602,6.759457032708602,3.152901234567901,0.309,0.58,0.111,0.395,0.346,0.259,0.346,0.37,0.284,0.049,0.704,0.247,0.358,0.284,0.049,0.37,0.42,0.111,0.346,0.333,0.321,0.388,0.075,0.113,0.3,0.188,0.225,0.263,0.2,0.188,0.075,0.025,0.35,0.2,0.05,0.013,0.388,0.075,0.113,0.312,0.212,0.175,7.0,-464.0
P00262_SF4,6.980329990386963,4,0,1,12,5,4,4,4,3,8,6,2,1,7,2,1,2,7,4,3,3,1,4,10614.3,-22.6500003568379,28.61,503.88000000000005,24.4,39,5,31,164.67999999999998,169,11333.202496334903,39974.10539310191,38562.48589823558,-207.8940766878368,1544.0020000000002,1102.0,48.11,-11.67340938503756,256.66,18381.259660812502,639.1867338390597,1897.626954109274,23.71,65631.825,2059.071558313834,93.90286336147636,553.62949227971,296.6590000000001,127.88313253012048,-0.272891570564312,0.3446987951807229,6.070843373493976,0.2939759036144578,0.4698795180722891,0.0602409638554216,0.3734939759036144,1.9840963855421685,2.036144578313253,136.54460838957715,481.61572762773386,464.6082638341636,-2.504747911901648,18.60243373493976,13.27710843373494,0.5796385542168675,-0.1406434865667176,3.0922891566265056,221.4609597688253,7.701044986012767,22.862975350714144,0.2856626506024096,790.7448795180723,24.808091064022097,1.1313597995358595,6.670234846743494,3.5742048192771096,0.349,0.458,0.193,0.47,0.313,0.217,0.482,0.217,0.301,0.084,0.771,0.145,0.277,0.265,0.108,0.434,0.325,0.193,0.313,0.422,0.265,0.366,0.085,0.183,0.317,0.232,0.134,0.256,0.317,0.11,0.159,0.012,0.22,0.146,0.098,0.049,0.305,0.11,0.134,0.28,0.171,0.244,7.0,347.0
P00260_SF4,6.220101833343506,4,0,1,19,2,6,4,4,6,4,6,0,2,5,5,1,2,5,3,4,3,1,3,10514.7,-18.77909979263959,27.32,520.89,25.5,36,5,26,159.66999999999996,160,4448.397952056307,38974.77434914588,38507.83785688294,-167.32623085553018,1657.5890000000004,1209.1,49.37,-12.986798791182691,260.492,18262.015029946804,603.8652925488683,2000.019572296759,23.870000000000005,65506.14700000001,2048.262138798165,99.05397748471502,542.2677001752188,337.215,123.70235294117646,-0.2209305857957599,0.3214117647058823,6.128117647058823,0.3,0.4235294117647059,0.0588235294117647,0.3058823529411765,1.8784705882352937,1.8823529411764703,52.334093553603616,458.526757048775,453.033386551564,-1.968543892418002,19.50104705882353,14.224705882352945,0.5808235294117646,-0.1527858681315611,3.064611764705882,214.8472356464329,7.104297559398451,23.52964202702069,0.2808235294117647,770.6605529411767,24.097201632919585,1.1653409115848825,6.379620002061397,3.967235294117647,0.424,0.412,0.165,0.518,0.318,0.165,0.494,0.224,0.282,0.082,0.824,0.094,0.247,0.247,0.082,0.482,0.306,0.165,0.318,0.447,0.235,0.298,0.107,0.155,0.345,0.19,0.107,0.286,0.31,0.119,0.155,0.012,0.131,0.167,0.071,0.024,0.238,0.131,0.119,0.262,0.19,0.19,7.0,356.0
P07485_SF4,6.079768657684326,4,0,0,8,0,0,5,6,1,10,2,1,6,1,2,2,1,3,3,3,0,0,5,7389.7,-23.85096431302792,25.07,321.86,17.580000000000002,37,8,5,127.54000000000002,110,-7165.51821818175,27418.22371445205,25795.93415395317,-267.5401205973088,1200.573,754.4999999999999,35.79,-2.776391083801932,253.088,12273.619045331288,488.3378137242304,1109.300515807572,18.21,40439.310000000005,1292.2124387924314,66.00776044146885,401.8559239957761,208.183,125.24915254237288,-0.404253632424202,0.4249152542372881,5.455254237288136,0.2979661016949153,0.6271186440677966,0.135593220338983,0.0847457627118644,2.161694915254237,1.8644067796610169,-121.4494613251144,464.7156561771534,437.21922294835895,-4.534578315208624,20.348694915254235,12.788135593220336,0.6066101694915255,-0.0470574759966429,4.289627118644067,208.027441446293,8.276912097020855,18.80170365775546,0.3086440677966102,685.4120338983051,21.9019057422446,1.1187756007028615,6.811117355860612,3.528525423728813,0.356,0.542,0.102,0.492,0.305,0.203,0.424,0.356,0.22,0.034,0.712,0.254,0.356,0.237,0.051,0.407,0.39,0.102,0.305,0.339,0.356,0.362,0.103,0.103,0.31,0.241,0.121,0.276,0.155,0.19,0.034,0.034,0.397,0.172,0.0,0.052,0.293,0.103,0.103,0.259,0.172,0.276,8.0,-374.0
P00261_SF4,6.736727237701416,4,0,1,18,2,5,6,4,2,4,6,3,1,7,4,0,2,6,3,4,3,1,4,10506.5,-20.66557299227082,30.64,517.79,24.92000000000001,35,4,26,165.81,149,3484.909313614853,39942.820592425,38134.90145797068,-216.8215654223115,1678.7910000000002,1200.1,49.05,-12.396129841053108,264.058,18377.041058407834,643.2434929912135,1962.8054752680664,24.130000000000003,65162.35799999999,2088.1335158251345,96.12349560339376,558.7673089142689,330.49999999999994,123.60588235294118,-0.2431243881443626,0.3604705882352941,6.091647058823529,0.2931764705882353,0.4117647058823529,0.0470588235294117,0.3058823529411765,1.9507058823529413,1.7529411764705882,40.99893310135122,469.9155363814706,448.6458995055374,-2.550841946144841,19.75048235294118,14.118823529411763,0.5770588235294117,-0.1458368216594483,3.1065647058823527,216.20048304009217,7.567570505778983,23.09182912080078,0.2838823529411765,766.6159764705882,24.566276656766288,1.1308646541575738,6.573733046050223,3.888235294117647,0.435,0.388,0.176,0.529,0.271,0.2,0.471,0.224,0.306,0.071,0.812,0.118,0.259,0.2,0.106,0.506,0.271,0.176,0.271,0.482,0.247,0.393,0.119,0.167,0.31,0.25,0.107,0.262,0.274,0.143,0.131,0.012,0.167,0.107,0.107,0.024,0.274,0.143,0.119,0.262,0.155,0.274,7.0,328.0
P00265_SF4,8.918804168701172,4,0,1,16,0,3,4,4,4,1,8,1,0,3,10,0,3,3,3,1,2,2,6,9145.7,-12.797340327117134,21.46,473.91,21.430000000000003,23,4,21,134.33,120,5399.942198227862,34551.29498192439,33046.57338963135,-55.6537847383066,1318.0729999999996,1095.5999999999997,42.51,-16.503664010923085,246.664,16058.10037310834,500.2053880868588,1828.836252085615,21.08,60254.01100000001,1895.2929500945688,82.25005750718489,441.3373909943833,284.047,123.59054054054054,-0.1729370314475288,0.29,6.404189189189189,0.2895945945945946,0.3108108108108108,0.054054054054054,0.2837837837837837,1.8152702702702703,1.6216216216216215,72.97219186794408,466.9093916476269,446.5753160760993,-0.7520781721392783,17.811797297297293,14.8054054054054,0.5744594594594594,-0.2230224866340957,3.3332972972972974,217.001356393356,6.759532271444037,24.71400340656236,0.2848648648648649,814.2433918918921,25.61206689316985,1.1114872636106066,5.964018797221397,3.838472972972973,0.432,0.324,0.243,0.568,0.297,0.135,0.473,0.243,0.284,0.135,0.797,0.068,0.27,0.149,0.149,0.473,0.23,0.243,0.297,0.459,0.243,0.288,0.233,0.178,0.301,0.164,0.082,0.247,0.274,0.164,0.219,0.027,0.082,0.096,0.041,0.068,0.274,0.233,0.151,0.315,0.068,0.315,7.0,332.0
P33678_SF4,5.909873008728027,4,0,1,10,1,4,3,4,3,0,9,0,3,0,7,1,3,4,2,3,0,2,3,7452.6,-7.8453955913262305,17.11,399.3,16.360000000000003,20,5,17,114.35,108,3742.934084573086,30813.19605244257,26898.303163415778,-26.53893443961473,1093.961,972.3,34.12,-10.585353152885812,185.532,13654.65645788026,462.96473851956455,1559.0802738677528,17.759999999999998,49432.94400000001,1760.6830911791171,62.48036193058204,364.4087440687636,224.52,120.2032258064516,-0.1265386385697779,0.2759677419354838,6.4403225806451605,0.2638709677419355,0.3225806451612903,0.0806451612903225,0.2741935483870967,1.844354838709677,1.7419354838709675,60.36990458988848,496.9870331039125,433.8435994099319,-0.4280473296712053,17.644532258064515,15.682258064516128,0.5503225806451613,-0.1707315024659002,2.992451612903226,220.23639448193967,7.4671732019284605,25.146456030125044,0.2864516129032258,797.3055483870969,28.39811437385673,1.007747773073904,5.877560388205865,3.621290322580645,0.435,0.339,0.226,0.516,0.29,0.194,0.355,0.29,0.355,0.129,0.823,0.048,0.258,0.177,0.129,0.5,0.21,0.226,0.29,0.484,0.226,0.295,0.115,0.197,0.262,0.246,0.082,0.213,0.164,0.213,0.148,0.0,0.098,0.115,0.082,0.016,0.148,0.115,0.148,0.197,0.148,0.18,7.4,330.0
